id,location,latitude,longitude,updated
2134,Two geese nesting beside Laurel Creek and V1 field,43.4708030997,-80.5479654394,2016-03-08 00:00:00
2136,Huge Nest! Be careful!!,43.472800036,-80.5441457672,2016-03-18 00:00:00
3136,"ML, goose stands between the two doors",43.4690141074,-80.5428717179,2016-03-22 00:00:00
3137,"Between C2 and DC, nest is on the top corner of the low section of C2.  Male goose patrols the intersection.",43.4722873791,-80.5425713105,2016-03-23 00:00:00
3139,"two geese wandering the engineering district, between RCH and CAP Hall",43.4706157981,-80.5396444354,2016-03-28 00:00:00
3141,On the grass between the parking lot and entrance drive,43.4687380783,-80.5374214692,2016-03-29 00:00:00
3150,In grass beside PAC/SLC parking lot,43.4717458521,-80.5463840718,2016-03-29 00:00:00
3151,Outside Needles Hall near creek,43.4695790091,-80.5438560886,2016-03-29 00:00:00
3153,On the roof of the entrance to Wellesley Court North ,43.47148274,-80.5360347671,2016-03-29 00:00:00
3154,Renison University College Courtyard ,43.4687987882,-80.5472048266,2016-03-29 00:00:00
3155,Pathways near all bridges from the colleges to main campus ,43.4703833087,-80.5452562017,2016-03-29 00:00:00
3160,Third floor green roof,43.4683820207,-80.5414837537,2016-03-30 00:00:00
3164,Pair of geese have been hanging out along this path for more than a week. ,43.4734681622,-80.5380920215,2016-03-30 00:00:00
3165,Pair of geese have been hanging out along this path for more than a week. ,43.4752906257,-80.5401625222,2016-03-30 00:00:00
3167,Right outside the tunnel in rev,43.4695249,-80.553986,2016-03-30 00:00:00
3169,"On the roof, right outside room 2009",43.4688574076,-80.54577338,2016-03-31 00:00:00
3173,"Outside Needles Hall, new building",43.4698101658,-80.5439311905,2016-04-01 00:00:00
3174,at the back of the Graduate House ,43.4696324762,-80.541457041,2016-04-01 00:00:00
3175,"in front of AL side doors, near ML tim hortons ",43.4687322384,-80.5423969669,2016-04-03 00:00:00
3176,Innotech Building Parking Lot Median,43.4783297116,-80.547935627,2016-04-04 00:00:00
3177,By Side door OpenText B2,43.4770884702,-80.5533296509,2016-04-04 00:00:00
3178,The small courtyard outside SLC facing the math buildings,43.4719031878,-80.545041625,2016-04-04 00:00:00
3179,Spotted near SLC Tim Horton's entrance ,43.4712636304,-80.545487384,2016-04-06 00:00:00
3181,STP in front of caf doors,43.4677982462,-80.5461627884,2016-04-06 00:00:00
3185,Arts-Environment Courtyard (Moss Garden),43.4674196938,-80.5423244457,2016-04-06 00:00:00
3186,Goose nest in the window sill of St. Paul's College,43.467798222,-80.5462057037,2016-04-06 00:00:00
3191,outside of St Pauls cafeteria ,43.4677808239,-80.5462378902,2016-04-06 00:00:00
3192,On slope  on the right as you are approaching South Campus Hall,43.4689906508,-80.5394116683,2016-04-07 00:00:00
3193,E5 4th floor balcony. Don't go out there. Also they are super loud. ,43.4728055713,-80.5401117249,2016-04-07 00:00:00
3194,Pathway from EIT/B1 link leading to PHYS,43.4707914499,-80.5423190813,2016-04-08 00:00:00
3196,Out the doors by the bathrooms on the ground floor,43.4712408756,-80.5524537114,2016-04-08 00:00:00
3198,"Two Geese, often seen from afternoon to night, On the pathway made for students to walk on ",43.4735074564,-80.5439660592,2016-04-08 00:00:00
