id,employer,date,start_time,end_time,location,website,audience,programs,description
2379,Enflick,"May 6, 2014",11:30 AM,1:30 PM,TC 2218,,Co-op and Graduating Students,"ALL - MATH faculty, ALL - ENG faculty",
2380,Wattpad,"May 6, 2014",5:00 PM,7:00 PM,SCH - Festival Room,www.wattpad.com/,Co-op Students,"ENG - Software, ENG - Computer, ALL - ENG faculty, MATH - Computer Science",
2399,Big Viking Games - CANCELLED*,"May 6, 2014",7:30 PM,9:00 PM,Bombshelter,www.bigvikinggames.com,Co-op and Graduating Students,ENG - Computer,"Big Viking Games is Canada\'s leading social and mobile game development studio. Headquartered in London, Ontario with a secondary studio in Toronto, our team of developers, artists and game designers are industry specialists who embrace the challenges of HTML5 mobile and social game development. "
2405,CGI,"May 7, 2014",11:30 AM,1:30 PM,TC 2218,www.cgi.com,Co-op and Graduating Students,"ALL - MATH faculty, ALL - ENG faculty, CA - Chartered Accounting, ALL - ARTS faculty",
2419,Noom,"May 7, 2014",5:00 PM,7:00 PM,DC 1301,www.noom.com,Co-op and Graduating Students,"ALL - MATH faculty, ALL - ENG faculty","Noom creates fun and easy-to-use mobile apps that provide intelligent nutrition and exercise coaching. Our apps also provide users with recipes, weight loss tips, and the latest in health and fitness."
2362,Google,"May 7, 2014",7:30 PM,9:00 PM,SCH - Festival,google.com,Co-op and Graduating Students,"MATH - Pure Mathematics, MATH - Computer Science, ENG - System Design, ENG - Software, ENG - Mechanical","Please RSVP through CECA\'s info session calendar, as well as here: http://goo.gl/P6IiEZ"
2401,"SpinPunch, Inc.","May 8, 2014",11:30 AM,1:30 PM,DC 1301,www.spinpunch.com,Co-op and Graduating Students,"ALL - MATH faculty, ENG - Nanotechnology, ALL - ENG faculty","Ready to grow wildly fast? SpinPunch is a Y Combinator startup founded by Waterloo and Stanford alum. We make infrastructure for next generation video games, and co-ops play a pivotal role in producing real-time strategy titles for millions of players in over 80 countries."
2365,"A Thinking Ape Technologies, Inc.","May 8, 2014",5:00 PM,7:00 PM,TC 2218,www.athinkingape.com,Co-op and Graduating Students,"MATH - Pure Mathematics, MATH - Computer Science, ENG - Software, ENG - Mechanical, ENG - Computer",Tech Talk: Pizza & Swag will be provided
2433,Facebook,"May 8, 2014",7:30 PM,9:00 PM,TC 2218,www.facebook.com,Co-op and Graduating Students,"ALL - MATH faculty, ALL - ENG faculty","Are you passionate about Facebook\'s product, analytics and technology? The Analytics team is looking for fast-moving analytics candidates and data junkies who want to make an impact.  Sharp analytical thinking, product sense, and programming skills are important ingredients for a Data Scientist to be successful at Facebook.  Leverage powerful data tools and infrastructure and work on the most interesting dataset in the world.  Join us at our info session to find out more about the Data Scientist opportunity in Analytics!  Pizza will be provided."
2404,PagerDuty,"May 12, 2014",11:30 AM,1:30 PM,TC 2218,www.pagerduty.com,Co-op and Graduating Students,"ALL - MATH faculty, ALL - ENG faculty","We wake you up when s*IT breaks! At PagerDuty we build a SaaS product that does exactly that, helping businesses respond 24/7 to high-severity issues from their own products and services. It sounds straightforward, but doing it reliably and at scale is a challenging problem, and by addressing it PagerDuty has become an essential tool for thousands of customers worldwide. PagerDuty is a well-funded Y Combinator 2010 alumnus headquartered in San Francisco with an engineering office in downtown Toronto, and we\'re growing like wildfire. Find out more at www.pagerduty.com!"
2445,Electronic Arts,"May 12, 2014",7:30 PM,9:00 PM,TC 2218,www.ea.com,Co-op Students,"ALL - MATH faculty, ALL - ENG faculty","What better way to get into the game industry than by working as an EA intern or co-op? EA offers paid internships or co-op positions (pay ranges vary depending on location, experience and skills), so you can actually get paid for working on game. We will also include your name in the game credits - how cool is that? Better yet, an EA internship or co-op just might lead to a career with EA after your graduation. An EA internship/co-op is a great way to get real-world experience in the games industry. You get hands-on experience working on actual projects, and the team you\'re working with benefits from your fresh perspective. We are confident that once you\'ve sampled life at EA you\'ll want to come back after graduation."
2358,Zynga,"May 13, 2014",11:30 AM,1:30 PM,TC 2218,www.zynga.com/students,Co-op Students,"ALL - MATH faculty, ENG - System Design, ENG - Software, ENG - Management, ENG - Computer",
2348,Bazaarvoice,"May 14, 2014",5:00 PM,7:00 PM,SCH - Laurel Room,www.bazaarvoice.co,Co-op and Graduating Students,"MATH - Computer Science, ENG - Electrical, ENG - Computer",
2343,Twitter,"May 14, 2014",7:30 PM,9:00 PM,SCH - Festival Room,,Co-op Students,"MATH - Computer Science, MATH - Applied Mathematics, ENG - System Design, ENG - Software, ENG - Computer",
2397,DBRS Global Technology,"May 15, 2014",11:30 AM,1:30 PM,DC 1301,www.dbrs.com,Co-op and Graduating Students,"MATH - Computer Science, ALL - MATH faculty, ENG - Software, ENG - Computer, ALL - ENG faculty","Like solving engineering and product challenges? Does the idea of working in a lean, start-up oriented team within the finance space sound interesting? Do you like pushing yourself on full-stack bleeding edge technology? Join DBRS Global Technology at our info session to find out more! www.facebook.com/DBRSGlobalTechnology"
2392,Amazon,"May 15, 2014",5:00 PM,7:00 PM,DC 1301,www.amazon.com/college,Co-op and Graduating Students,"MATH - Computer Science, ENG - Software, ENG - Computer",
2381,Bloomberg,"May 15, 2014",7:30 PM,9:00 PM,DC 1301,,Co-op and Graduating Students,"SCI - Physics, MATH - Statistics, MATH - Computer Science, ENG - Software, ENG - Computer",
2440,Facebook,"May 16, 2014",11:30 AM,1:30 PM,TC 2218,,Co-op and Graduating Students,ENG - Computer,
2411,PDT Partners,"May 20, 2014",11:30 AM,1:30 PM,TC 2218,www.pdtpartners.com,Co-op Students,"MATH - Computer Science, ENG - System Design, ENG - Software, ENG - Mechatronics, ENG - Computer","We are a global quantitative investment manager. TECHNOLOGY IS IN OUR DNA. Using state-of-the-art technology, we develop and deploy model-driven trading strategies. We value depth and expertise, encourage intellectual curiousity and seek constant innovation. We are a passionate community of tech geeks, science fiction fans, LOTR aficionados, musicians, athletes and foodies. Come talk to us!"
2364,BlackBerry,"May 20, 2014",5:00 PM,7:00 PM,SCH - Festival Room,www.blackberry.com,Co-op Students,"ALL - SCI faculty, ALL - MATH faculty, ALL - ENG faculty,  ALL - Info Tech",
2396,Microsoft,"May 21, 2014",11:30 AM,1:30 PM,DC 1302,microsoft.com/university,Co-op and Graduating Students,"MATH - Computer Science, ENG - System Design, ENG - Software, ENG - Mechanical, ENG - Computer",
2439,Fairfax Financial Holdings Ltd,"May 21, 2014",3:00 PM,4:30 PM,TC 2218,co-op.fairfax.ca,Co-op Students,"SCI - Science & Business, MATH - Actuarial Science, ALL - MATH faculty, ALL - ENG faculty, ALL - ARTS faculty",
2344,Wave,"May 21, 2014",5:00 PM,7:00 PM,TC 2218,www.waveapps.com,Co-op Students,"MATH - Computer Science, ENG - System Design, ENG - Software, ENG - Computer",
2395,Microsoft Canada Co.,"May 21, 2014",5:00 PM,7:00 PM,DC 1301,www.careers.microsoft.com,Co-op and Graduating Students,"MATH - Mathematical Finance, MATH - Mathematical Economics, MATH - Math & Business, MATH - Information Technology Management, MATH - Financial Analysis & Risk Management, MATH - Computing & Financial Management, MATH - Business Administration, MATH - Actuarial Science, CA - Chartered Accounting, CA - Accounting, ARTS - Financial Management",
2407,Stripe,"May 21, 2014",7:30 PM,9:00 PM,TC 2218,www.stripe.com,Co-op and Graduating Students,"MATH - Computer Science, ENG - Software, ENG - Computer","Stripe is the easiest way to accept credit card payments on your website or mobile app. With Stripe, you can create the payment experience you want in minutes, and Stripe will take care of all the heavy lifting, including security and daily transfers to your bank account. Stripe powers payments for thousands of businesses of every size--from start-ups to Fortune 50 companies. Stripe\'s investors include PayPal co-founders Peter Thiel, Max Levchin, and Elon Musk, Sequoia Capital and Andreessen Horowitz."
2400,Desire2Learn,"May 22, 2014",11:30 AM,1:30 PM,TC 2218,www.desire2learn.com,Co-op and Graduating Students,"MATH - Computer Science, ENG - System Design, ENG - Software, ENG - Computer","Desire2Learn is helping to transform the way the world learns! We require the best of the best to help us design and deliver on our upcoming products. If you are looking for a chance to truly have an impact on a learning system used by over 10 million people worldwide (including University of Waterloo), visit our Networking Session to find out where you fit into our growth!"
2356,"Kik Interactive, Inc","May 22, 2014",4:00 PM,6:00 PM,Bombshelter,www.kik.com,Co-op and Graduating Students,"MATH - Computer Science, ENG - System Design, ENG - Software, ENG - Computer, ALL - ENG faculty",
2442,PwC,"May 22, 2014",5:00 PM,7:00 PM,SCH - Festival Room,www.pwc.com,Co-op Students,MATH - Actuarial Science,"Every career path is different. That\'s why we help you design your own. We\'ll provide the training, coaching and experiences that allow you to build relationships and take advantage of career opportunities. You decide what happens next - at PwC or beyond. "
