id,employer,date,start_time,end_time,location,website,audience,programs,description
2174,Actv8 Marketing,"January 7, 2014",11:30 AM,1:30 PM,TC 2218,,Co-op Students, ALL - Business,
2247,Mozilla,"January 7, 2014",11:30 AM,1:30 PM,SCH - Laurel Room,http://careers.mozilla.org/,Co-op Students,"ENG - Software, MATH - Information Technology Management, MATH - Computer Science",
2255,Facebook,"January 7, 2014",2:00 PM,4:00 PM,TC 2218,http://facebook.com,Co-op and Graduating Students,"MATH - Computer Science, MATH - Computational Mathematics, ENG - System Design, ENG - Software, ENG - Computer",
2219,Audatex Canada,"January 7, 2014",5:00 PM,7:00 PM,TC 2218 ,,Co-op Students,"ENG - Computer, MATH - Information Technology Management, ENG - Software, ENG - System Design",
2307,Amazon,"January 7, 2014",7:30 PM,9:00 PM,SCH - Festival Room,http://www.amazon.com/college,Co-op Students,"MATH - Computer Science, MATH - Computational Mathematics, ENG - Software, ENG - Computer",
2248,Enflick,"January 8, 2014",11:30 AM,1:30 PM,TC 2218,,Co-op and Graduating Students,"MATH - All, ENG - System Design, ENG - Architecture, ENG - All, ENG - Software, ENG - Nanotechnology, ENG - Mechatronics, ENG - Mechanical, ENG - Management, ENG - Geological, ENG - Environmental, ENG - Electrical, ENG - Computer, ENG - Civil, ENG - Chemical",
2218,Facebook,"January 8, 2014",5:00 PM,7:00 PM,TC 2218,http://FACEBOOK.COM,Co-op and Graduating Students,"ENG - Computer, ENG - Electrical, ENG - Mechatronics, ENG - Software, ENG - System Design",
2168,Deloitte,"January 8, 2014",7:30 PM,9:00 PM,SCH - Festival Room,,Co-op and Graduating Students,"ENG - System Design, ENG - Software, ENG - Mechatronics, ENG - Mechanical, MATH - All, MATH - Mathematical Studies, MATH - Mathematical Physics, MATH - Mathematical Optimization, MATH - Mathematical Finance, MATH - Mathematical Economics, MATH - Bioinformatics, MATH - Math & Business, ENG - Management, MATH - Information Technology Management,  ALL - Info Tech, ENG - Geological, ENG - Environmental, ENG - All, ENG - Electrical, ENG - Computer, ENG - Civil, ENG - Chemical",
2216,CPP Investment Board,"January 9, 2014",11:30 AM,1:30 PM,TC 2218,http://CPPIB.COM,Co-op Students,"SCI - Science & Business, MATH - Statistics, MATH - Pure Mathematics, MATH - Mathematical Studies, MATH - Mathematical Physics, MATH - Mathematical Optimization, MATH - Mathematical Finance, MATH - Mathematical Economics, MATH - Math & Business, MATH - Financial Analysis & Risk Management, MATH - Computing & Financial Management, MATH - Computer Science, MATH - Computational Mathematics, MATH - Combinatorics & Optimization, MATH - Business Administration, MATH - All, MATH - Actuarial Science, ENG - System Design, ENG - Management, ENG - Computer, CA - Accounting and Financial Management, ARTS - Financial Management, ARTS - Economics, ARTS - Arts & Business,  ALL - Info Tech,  ALL - Business",
2169,Dropbox,"January 9, 2014",5:00 PM,7:00 PM,DC 1302,,Co-op Students,"ENG - Software, MATH - Computer Science, ENG - Computer",
2236,Bloomberg,"January 9, 2014",7:30 PM,9:00 PM,DC 1301,,Co-op and Graduating Students,"ENG - System Design, ENG - Software, SCI - Physics, ENG - Mechatronics, ENG - Mechanical, MATH - All, MATH - Mathematical Studies, MATH - Mathematical Physics, MATH - Mathematical Finance, MATH - Mathematical Economics, MATH - Math & Business, ENG - Management, MATH - Information Technology Management,  ALL - Info Tech, ENG - All, ENG - Electrical, MATH - Computer Science, ENG - Computer, MATH - Computational Mathematics, ENG - Civil, ENG - Chemical, MATH - Applied Mathematics",
2284,EY (formerly known as Ernst &Young),"January 10, 2014",11:30 AM,1:30 PM,TC 2218,http://www.ey.com/ca/apply,Co-op Students,"MATH - Mathematical Physics, MATH - Mathematical Optimization, MATH - Mathematical Finance, MATH - Mathematical Economics, MATH - Information Technology Management, MATH - Computing & Financial Management, MATH - Computer Science, MATH - Bioinformatics, MATH - All, MATH - Math & Business, ENG - System Design, ENG - Software, ENG - Mechatronics, ENG - Management, ENG - Geological, ENG - Environmental, ENG - Electrical, ENG - Computer, ENG - All, CA - All,  ALL - Info Tech,  ALL - Business, CA - Accounting and Financial Management,  ALL - Accounting",
2243,Blue Coat Systems,"January 13, 2014",11:30 AM,1:30 PM,TC 2218,,Co-op Students,"MATH - Scientific Computation, MATH - Computer Science, ENG - Computer, ENG - Software, ENG - System Design",
2292,Loyalty One,"January 13, 2014",2:30 PM,4:30 PM,SCH - Laurel Room,,Co-op Students,"SCI - Science & Business, MATH - Statistics, MATH - Pure Mathematics, MATH - Mathematical Finance, MATH - Mathematical Economics, MATH - Information Technology Management, MATH - Computing & Financial Management, MATH - Computer Science, MATH - Business Administration, MATH - Actuarial Science, MATH - Math & Business, ENV - Environment & Resource Studies, ENV - Environment & Business, ENG - Software, ARTS - Management Accounting, ARTS - Economics, ARTS - Applied Economics,  ALL - Info Tech,  ALL - Business, CA - Accounting and Financial Management,  ALL - Accounting",
2213,Blackberry,"January 13, 2014",4:30 PM,6:30 PM,SCH - Festival Room,http://ca.blackberry.com,Co-op Students,"SCI - ALL, MATH - Math & Business, MATH - Computer Science, MATH - All, ENG - System Design, ENG - Software, ENG - Nanotechnology, ENG - Mechatronics, ENG - Management, ENG - Electrical, ENG - Computer,  ALL - Business","The 'for sale' sign has been taken down and we are here to stay. The BlackBerry student program has been further refined. Each of our opportunities offers meaningful, hands on experience working alongside industry experts.                                                                                                 As students at BlackBerry, you are an important part of our culture and integral in the success of our business.  BlackBerry provides you the opportunity to be amazing! We offer a dynamic work environment where you are encouraged to achieve your highest potential.    Bring your resume and join us on campus at our information session, where you will have a chance to network with BlackBerry professionals and find out more about what we have to offer. <br/><br/>**Please be sure to pre-register at: https://www.eventbrite.ca/e/blackberry-uw-information-session-tickets-9739514149 <br/>Password: blackberry<br/><br/>Please also register on this page as well. <br/><br/>Please RSVP if you will be attending this session or cancel the session if you have registered for this and no longer want to attend it."
2172,Palantir Technologies,"January 13, 2014",7:30 PM,9:00 PM,SCH Festival Room,,Co-op and Graduating Students,"ENG - Software, MATH - Computer Science, ENG - Computer, MATH - Computational Mathematics, MATH - Actuarial Science",
2300,Microsoft Canada Co.,"January 13, 2014",7:30 PM,9:00 PM,DC 1301,,Co-op Students,"MATH - Mathematical Optimization, MATH - Mathematical Finance, MATH - Mathematical Economics, MATH - Financial Analysis & Risk Management, ENV - Environment & Business, ARTS - Political Science, ARTS - Human Resources, ARTS - All,  ALL - Info Tech,  ALL - Business,  ALL - Accounting",
2229,CIBC Technology,"January 14, 2014",11:30 AM,1:30 PM,TC 2218,,Co-op Students, ALL - Info Tech,
2296,Suncor Energy,"January 14, 2014",11:30 AM,1:30 PM,DC 1302,http://www.suncor.com,Co-op and Graduating Students,"ENG - Mechanical, ENG - Electrical, ENG - Civil, ENG - Chemical",
2266,Big Viking Games,"January 14, 2014",2:30 PM,4:30 PM,Bombshelter,http://www.bigvikinggames.com,Co-op and Graduating Students,ENG - Computer,
2215,LinkedIn ,"January 14, 2014",5:00 PM,7:00 PM,TC 2218,,Co-op Students,"ENG - Computer, MATH - Computer Science, ENG - Software",
2295,Suncor Energy,"January 14, 2014",5:30 PM,7:30 PM,DC 1302,http://www.suncor.com,Co-op and Graduating Students, ALL - Business,
2223,VMware,"January 14, 2014",7:30 PM,9:00 PM,TC 2218,,Co-op and Graduating Students,"ENG - Computer, MATH - Computer Science, ENG - Software, ENG - System Design",
2176,Bazaarvoice,"January 15, 2014",11:30 AM,1:30 PM,TC 2218,http://bazaarvoice.com,Co-op and Graduating Students,"ENG - System Design, ENG - Software, ENG - Electrical, MATH - Computer Science, ENG - Computer",
