Exam,Section(s),Day,Date,Start,Finish,Location
ACTSC 221,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
ACTSC 231,"001,002",Thursday,"April 19, 2018",9:00 AM,11:30 AM,"PAC 1,2"
ACTSC 231,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
ACTSC 232,001,Tuesday,"April 24, 2018",12:30 PM,3:00 PM,PAC 8
ACTSC 331,001,Tuesday,"April 24, 2018",12:30 PM,3:00 PM,STC 0020
ACTSC 371,"001,002",Saturday,"April 21, 2018",9:00 AM,11:30 AM,"STC 0060,1012"
ACTSC 372,"001,002",Wednesday,"April 11, 2018",12:30 PM,3:00 PM,"PAC 1,2"
ACTSC 431,001,Tuesday,"April 24, 2018",9:00 AM,11:30 AM,PAC Upper 10
ACTSC 433,001,Monday,"April 9, 2018",4:00 PM,6:30 PM,STC 0010
ACTSC 446,"001,002",Monday,"April 23, 2018",12:30 PM,3:00 PM,"PAC Upper 9,10,11"
ACTSC 455,001,Thursday,"April 19, 2018",12:30 PM,3:00 PM,PAC Upper 9
ACTSC 471,001,Friday,"April 13, 2018",9:00 AM,11:00 AM,STC 0020
ACTSC 833,001,Monday,"April 9, 2018",4:00 PM,6:30 PM,STC 0010
ACTSC 846,001,Monday,"April 23, 2018",12:30 PM,3:00 PM,"PAC Upper 9,10,11"
ACTSC 855,001,Thursday,"April 19, 2018",12:30 PM,3:00 PM,PAC Upper 9
AFM 101,"001,002",Monday,"April 16, 2018",7:30 PM,10:00 PM,"PAC 1,2,3"
AFM 102,001 to 005,Friday,"April 13, 2018",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6"
AFM 121,001 to 007,Tuesday,"April 17, 2018",12:30 PM,2:00 PM,"CPH 1346,E2 1310,HH 280"
AFM 123,003,Wednesday,"April 18, 2018",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6"
AFM 131,001,Friday,"April 13, 2018",12:30 PM,3:00 PM,STC 0010
AFM 131,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
AFM 231,001,Tuesday,"April 10, 2018",7:30 PM,9:30 PM,"PAC Upper 9,10,11"
AFM 323,001,Wednesday,"April 11, 2018",12:30 PM,3:00 PM,PAC 3
AFM 333,001 to 003,Thursday,"April 12, 2018",12:30 PM,3:00 PM,M3 1006
AFM 341,"001,002",Thursday,"April 19, 2018",12:30 PM,3:00 PM,PAC 8
AFM 362,"001,002",Tuesday,"April 10, 2018",4:00 PM,6:30 PM,PAC 8
AFM 373,001 to 003,Friday,"April 13, 2018",9:00 AM,11:00 AM,STC 1012
AFM 391,001 to 003,Tuesday,"April 17, 2018",9:00 AM,11:30 AM,"PAC Upper 9,10,11"
AFM 433,"001,002",Wednesday,"April 11, 2018",9:00 AM,11:30 AM,HH 280
AFM 476,001,Friday,"April 13, 2018",9:00 AM,11:00 AM,STC 0020
AFM 491,001,Friday,"April 20, 2018",4:00 PM,6:30 PM,STC 0050
AHS 150,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
