Exam,Section(s),Day,Date,Start,End,Location(s)
BIOL 140,"001 to 003",Wednesday,"December 14, 2011",4:00 PM,6:30 PM,"PAC 1,2,3,4,5,6,7,8"
BIOL 140,,,,View your exam schedule in Quest,,,,
BIOL 140L,001 to 023,Wednesday,"December 21, 2011",9:00 AM,10:00 AM,"PAC 4,5,6,7,8,11,12"
BIOL 208,001,Tuesday,"December 20, 2011",9:00 AM,11:30 AM,"PAC 1,2,3"
BIOL 250,001,Thursday,"December 15, 2011",7:30 PM,10:00 PM,"PAC 1,2,3,4"
BIOL 273,,,,View your exam schedule in Quest,,,,
BIOL 302,001,Wednesday,"December 14, 2011",7:30 PM,10:00 PM,"DC 1350,1351,MC 2017,2054"
BIOL 303,001,Monday,"December 12, 2011",4:00 PM,6:30 PM,"PAC 7,8,9,10,11,12"
BIOL 308,001,Saturday,"December 17, 2011",4:00 PM,6:30 PM,"PAC 1,2,3,9,10"
BIOL 323,001,Thursday,"December 8, 2011",12:30 PM,3:00 PM,RCH 205
BIOL 325,001,Tuesday,"December 20, 2011",12:30 PM,3:00 PM,B2 350
BIOL 335L,"001,002",Tuesday,"December 13, 2011",7:30 PM,10:00 PM,MC 2035
BIOL 342,001,Tuesday,"December 13, 2011",12:30 PM,3:00 PM,"RCH 301,302"
BIOL 345,001,Wednesday,"December 21, 2011",7:30 PM,10:00 PM,"RCH 204,211"
BIOL 350,001,Thursday,"December 15, 2011",7:30 PM,10:00 PM,"PAC 11,12"
BIOL 354,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,"PAC 11,12"
BIOL 359,001,Friday,"December 16, 2011",7:30 PM,10:00 PM,"PAC 1,2"
BIOL 364,001,Exam removed from the schedule.  Contact the instructor for further information.,,,,
BIOL 370,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,MC 1085
BIOL 373,,,,View your exam schedule in Quest,,,,
BIOL 376,001,Tuesday,"December 20, 2011",7:30 PM,10:00 PM,PAC 1
BIOL 434,001,Saturday,"December 17, 2011",7:30 PM,10:00 PM,M3 1006
BIOL 439,001,Thursday,"December 15, 2011",7:30 PM,10:00 PM,"DC 1350,1351"
BIOL 443,001,Thursday,"December 22, 2011",4:00 PM,6:30 PM,"PAC 11,12"
BIOL 444,001,Tuesday,"December 20, 2011",9:00 AM,11:30 AM,RCH 301
BIOL 447,001,Wednesday,"December 14, 2011",12:30 PM,3:00 PM,RCH 301
BIOL 448,001,Wednesday,"December 21, 2011",12:30 PM,3:00 PM,"PAC 9,10"
BIOL 456,001,Tuesday,"December 13, 2011",9:00 AM,11:30 AM,RCH 205
BIOL 466,001,Monday,"December 12, 2011",9:00 AM,11:30 AM,RCH 205
BIOL 473,001,Monday,"December 12, 2011",7:30 PM,10:00 PM,"MC 2017,2054"
BIOL 479,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,DC 1350
BUS 111W,"001,003,004",See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 111W,"006,007,008,010,011",Friday,"December 9, 2011",7:30 PM,10:00 PM,"RCH 301,302,305,306,307"
BUS 227W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 231W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 288W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 352W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 354W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 357W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 362W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 383W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 385W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 387W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 397W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 412W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 413W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 417W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 423W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 447W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 451W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 452W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 466W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 467W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 473W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 474W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 477W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 482W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
BUS 487W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
CHE 100,001,Friday,"December 9, 2011",7:30 PM,10:00 PM,"PAC 4,5"
CHE 100,051 (UAE),Tuesday,"December 13, 2011",9:00 AM,11:30 AM,Exam Hall
CHE 102,001,Friday,"December 16, 2011",9:00 AM,11:30 AM,"RCH 103,105,110"
CHE 102,002 to 010,Friday,"December 16, 2011",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12"
CHE 102,011,Friday,"December 16, 2011",9:00 AM,11:30 AM,"RCH 302,305"
CHE 102,051 (UAE),Wednesday,"December 7, 2011",9:00 AM,11:30 AM,Exam Hall
CHE 200,001,Thursday,"December 8, 2011",4:00 PM,6:30 PM,"DWE 2527,2529"
CHE 200,051 (UAE),Thursday,"December 15, 2011",9:00 AM,11:30 AM,Z-238
CHE 211,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,"DWE 2527,2529"
CHE 220,001,Thursday,"December 15, 2011",12:30 PM,3:00 PM,"DWE 2527,2529"
CHE 220,051 (UAE),Thursday,"December 8, 2011",9:00 AM,11:30 AM,Exam Hall
CHE 230,001,Saturday,"December 10, 2011",4:00 PM,6:30 PM,"DWE 2527,2529"
CHE 230,051 (UAE),Tuesday,"December 13, 2011",9:00 AM,11:30 AM,Z-238
CHE 231,001,Wednesday,"December 14, 2011",4:00 PM,6:30 PM,"DWE 2527,2529"
CHE 241,001,Wednesday,"December 21, 2011",4:00 PM,6:30 PM,"DWE 2527,2529"
CHE 241,051 (UAE),Sunday,"December 18, 2011",9:00 AM,11:30 AM,Z-238
CHE 311,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,"DWE 2527,2529"
CHE 313,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,DWE 1501
CHE 325,001,Wednesday,"December 14, 2011",4:00 PM,6:30 PM,DWE 1501
CHE 331,001,Friday,"December 16, 2011",4:00 PM,6:30 PM,"DWE 2527,2529"
CHE 420,001,Tuesday,"December 13, 2011",9:00 AM,11:30 AM,"DWE 2527,2529"
CHE 480,001,Thursday,"December 22, 2011",4:00 PM,6:30 PM,"DWE 2527,2529"
CHE 541,001,Tuesday,"December 20, 2011",4:00 PM,6:30 PM,DWE 2529
CHEM 120,001 to 006,Thursday,"December 8, 2011",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12"
CHEM 120L,001 to 014,Monday,"December 12, 2011",7:30 PM,9:30 PM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12"
CHEM 123,,,,View your exam schedule in Quest,,,,
CHEM 209,001,Monday,"December 12, 2011",12:30 PM,3:00 PM,"RCH 301,302,306"
CHEM 217,,,,View your exam schedule in Quest,,,,
CHEM 220,001,Tuesday,"December 13, 2011",9:00 AM,11:30 AM,"PAC 7,8"
CHEM 237,001,Saturday,"December 17, 2011",9:00 AM,11:30 AM,M3 1006
CHEM 240,001,Thursday,"December 22, 2011",7:30 PM,10:00 PM,PAC 2
CHEM 262,001,Monday,"December 12, 2011",7:30 PM,10:00 PM,"MC 2034,2035"
CHEM 264,001,Thursday,"December 8, 2011",7:30 PM,10:00 PM,"PAC 8,9,10"
CHEM 266,"001,002",Thursday,"December 8, 2011",7:30 PM,10:00 PM,"PAC 1,2,3,4,5,6,7"
CHEM 266,,,,View your exam schedule in Quest,,,,
CHEM 310,001,Thursday,"December 15, 2011",9:00 AM,11:30 AM,RCH 307
CHEM 323,001,Saturday,"December 10, 2011",7:30 PM,10:00 PM,RCH 305
CHEM 331,001,Thursday,"December 22, 2011",9:00 AM,11:30 AM,PAC 4
CHEM 333,001,Thursday,"December 15, 2011",9:00 AM,11:30 AM,"RCH 103,105"
CHEM 356,001,Monday,"December 12, 2011",12:30 PM,3:00 PM,RCH 305
CHEM 370,001,Monday,"December 19, 2011",12:30 PM,3:00 PM,MC 4041
CHEM 404,001,Monday,"December 19, 2011",7:30 PM,10:00 PM,"PAC 9,10"
CHEM 430,001,Thursday,"December 8, 2011",7:30 PM,10:00 PM,MC 4042
CHEM 432,001,Tuesday,"December 20, 2011",7:30 PM,9:30 PM,PAC 11
CHEM 464,001,Thursday,"December 15, 2011",4:00 PM,6:30 PM,MC 4058
CHINA 101R,001,Saturday,"December 10, 2011",12:30 PM,3:00 PM,REN 2107
CHINA 102R,001,Saturday,"December 17, 2011",7:30 PM,10:00 PM,REN 2102
CHINA 120R,001,Thursday,"December 22, 2011",7:30 PM,10:00 PM,"REN 0104,0106"
CHINA 200R,001,Thursday,"December 8, 2011",9:00 AM,10:30 AM,REN 2104
CHINA 201R,001,Wednesday,"December 21, 2011",7:30 PM,10:00 PM,REN 2107
CHINA 202R,001,Thursday,"December 15, 2011",7:30 PM,10:00 PM,REN 2102
CHINA 301R,001,Monday,"December 19, 2011",9:00 AM,10:30 AM,REN 2102
CIVE 204,001,Saturday,"December 10, 2011",12:30 PM,3:00 PM,"CPH 3602,3604,3607"
CIVE 204,051 (UAE),Tuesday,"December 13, 2011",9:00 AM,11:30 AM,Z-239
CIVE 221,001,Tuesday,"December 13, 2011",9:00 AM,11:30 AM,"CPH 3602,3604,3607"
CIVE 221,051 (UAE),Sunday,"December 11, 2011",9:00 AM,11:30 AM,Z-238
CIVE 224,001,Thursday,"December 15, 2011",9:00 AM,11:30 AM,"CPH 3602,3604,3607"
CIVE 224,051 (UAE),Thursday,"December 8, 2011",9:00 AM,11:30 AM,Exam Hall
CIVE 265,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,"CPH 3602,3604,3607"
CIVE 265,051 (UAE),Sunday,"December 18, 2011",9:00 AM,11:30 AM,Z-238
CIVE 292,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,"RCH 103,105,110"
CIVE 306,001,Saturday,"December 10, 2011",4:00 PM,6:30 PM,"RCH 305,306"
CIVE 313,001,Thursday,"December 8, 2011",12:30 PM,3:00 PM,"MC 4059,4061"
CIVE 332,001,Monday,"December 12, 2011",9:00 AM,11:30 AM,"DWE 3516,3518,3522"
CIVE 343,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,"DWE 3516,3522"
CIVE 354,001,Thursday,"December 15, 2011",12:30 PM,3:00 PM,"CPH 3602,3604,3607"
CIVE 381,001,Wednesday,"December 21, 2011",12:30 PM,3:00 PM,CPH 3604
CIVE 486,001,Thursday,"December 8, 2011",12:30 PM,3:00 PM,RCH 306
CIVE 497,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,"E5 3101,3102"
CLAS 100,001,Wednesday,"December 21, 2011",12:30 PM,2:30 PM,"RCH 103,105"
CLAS 104,001,Tuesday,"December 20, 2011",4:00 PM,6:00 PM,"PAC 6,7,8"
CLAS 221,001,Saturday,"December 17, 2011",4:00 PM,6:30 PM,RCH 301
CLAS 231,001,Friday,"December 9, 2011",9:00 AM,11:00 AM,MC 4040
CLAS 241,001,Monday,"December 12, 2011",9:00 AM,11:00 AM,AL 208
CLAS 361,,,,View your exam schedule in Quest,,,,
CLAS 486,001,Saturday,"December 10, 2011",4:00 PM,6:00 PM,ML 246
CM 339,001 to 003,Friday,"December 16, 2011",12:30 PM,3:00 PM,"MC 4020,4021,4059,4061"
CM 340,"001,002",Thursday,"December 8, 2011",12:30 PM,3:00 PM,"DC 1350,1351"
CM 361,001,Saturday,"December 10, 2011",7:30 PM,10:00 PM,RCH 211
CM 375,001,Thursday,"December 15, 2011",12:30 PM,3:00 PM,PAC 3
CM 443,001,Thursday,"December 8, 2011",7:30 PM,10:00 PM,"PAC 11,12"
CM 462,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,RCH 211
CM 762,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,RCH 211
CMW 363,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,CGC 1300
CO 227,001,Monday,"December 12, 2011",4:00 PM,6:30 PM,RCH 309
CO 250,"001,002",Thursday,"December 8, 2011",12:30 PM,3:00 PM,"DC 1350,1351"
CO 330,001,Wednesday,"December 14, 2011",4:00 PM,6:30 PM,RCH 204
CO 342,001,Thursday,"December 22, 2011",4:00 PM,6:30 PM,PAC 1
CO 351,001,Thursday,"December 15, 2011",7:30 PM,10:00 PM,MC 2034
CO 355,001,Thursday,"December 15, 2011",12:30 PM,3:00 PM,PAC 8
CO 370,001,Thursday,"December 8, 2011",7:30 PM,10:00 PM,"PAC 11,12"
CO 430,001,Monday,"December 19, 2011",12:30 PM,3:00 PM,RCH 205
CO 442,001,Wednesday,"December 14, 2011",12:30 PM,3:00 PM,RCH 306
CO 450,001,Saturday,"December 10, 2011",4:00 PM,6:30 PM,RCH 204
CO 456,001,Friday,"December 9, 2011",4:00 PM,6:30 PM,RCH 307
CO 463,001,Tuesday,"December 13, 2011",9:00 AM,11:30 AM,MC 4060
CO 485,001,Thursday,"December 22, 2011",4:00 PM,6:30 PM,PAC 2
CO 630,001,Monday,"December 19, 2011",12:30 PM,3:00 PM,RCH 205
CO 642,001,Wednesday,"December 14, 2011",12:30 PM,3:00 PM,RCH 306
CO 650,001,Saturday,"December 10, 2011",4:00 PM,6:30 PM,RCH 204
CO 663,001,Tuesday,"December 13, 2011",9:00 AM,11:30 AM,MC 4060
CO 685,001,Thursday,"December 22, 2011",4:00 PM,6:30 PM,PAC 2
COMM 231,001,Wednesday,"December 21, 2011",4:00 PM,6:30 PM,"PAC 1,2"
COMM 421,001,Tuesday,"December 13, 2011",9:00 AM,11:30 AM,RCH 206
COMM 431,001,Friday,"December 9, 2011",12:30 PM,3:00 PM,PAC 10
CROAT 101,001,Friday,"December 9, 2011",7:30 PM,10:00 PM,ML 212
CROAT 101,,,,View your exam schedule in Quest,,,,
CROAT 201,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,ML 212
CS 100,,,,View your exam schedule in Quest,,,,
CS 115,001 to 009,Saturday,"December 17, 2011",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8"
CS 115,051 (UAE),Tuesday,"December 13, 2011",9:00 AM,11:30 AM,Exam Hall
CS 116,"001,002",Saturday,"December 17, 2011",9:00 AM,11:30 AM,"DC 1350,1351"
CS 116,051 (UAE),Sunday,"December 18, 2011",9:00 AM,11:30 AM,Z-242
CS 135,001 to 007,Saturday,"December 17, 2011",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6"
CS 136,"001,002",Saturday,"December 17, 2011",12:30 PM,3:00 PM,"PAC 7,8"
CS 137,001,Friday,"December 16, 2011",9:00 AM,11:30 AM,DC 1350
CS 145,001,Thursday,"December 22, 2011",4:00 PM,6:30 PM,PAC 3
CS 200,001,Friday,"December 9, 2011",7:30 PM,10:00 PM,RCH 211
CS 200L,,Thursday,"December 15, 2011",12:30 PM,3:00 PM,"MC 2062,2063"
CS 230,001,Saturday,"December 17, 2011",9:00 AM,11:30 AM,"PAC 9,10"
CS 234,001,Wednesday,"December 21, 2011",4:00 PM,6:30 PM,PAC 5
CS 240,001,Monday,"December 12, 2011",4:00 PM,6:30 PM,"RCH 103,105"
CS 241,001 to 003,Tuesday,"December 20, 2011",4:00 PM,6:30 PM,"PAC 1,2"
CS 245,001 to 003,Saturday,"December 17, 2011",4:00 PM,6:30 PM,"PAC 4,5,6,11,12"
CS 246,001 to 003,Wednesday,"December 21, 2011",12:30 PM,3:00 PM,"PAC 1,2,3"
CS 251,"001,002",Tuesday,"December 13, 2011",12:30 PM,3:00 PM,"MC 4020,4021"
CS 330,"001,002",Wednesday,"December 14, 2011",9:00 AM,11:30 AM,"RCH 301,302,305,309"
CS 335,001,Friday,"December 9, 2011",4:00 PM,6:30 PM,RCH 301
CS 338,001,Wednesday,"December 21, 2011",9:00 AM,11:00 AM,RCH 301
CS 341,001 to 003,Friday,"December 16, 2011",12:30 PM,3:00 PM,"MC 4020,4021,4059,4061"
CS 343,"001,002",Tuesday,"December 13, 2011",12:30 PM,3:00 PM,M3 1006
CS 348,001 to 003,Monday,"December 19, 2011",4:00 PM,6:30 PM,"DC 1350,1351"
CS 350,001 to 003,Monday,"December 12, 2011",7:30 PM,10:00 PM,M3 1006
CS 360,001,Saturday,"December 10, 2011",7:30 PM,10:00 PM,RCH 301
CS 370,"001,002",Wednesday,"December 21, 2011",9:00 AM,11:30 AM,M3 1006
CS 430,001,Friday,"December 16, 2011",9:00 AM,11:30 AM,RCH 211
CS 432,001,Tuesday,"December 20, 2011",9:00 AM,11:30 AM,PAC 11
CS 445,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,RCH 305
CS 446,001,Saturday,"December 17, 2011",9:00 AM,11:30 AM,MC 2034
CS 452,001,Friday,"December 9, 2011",12:30 PM,3:00 PM,RCH 204
CS 454,001,Saturday,"December 17, 2011",7:30 PM,10:00 PM,MC 4059
CS 456,001,Thursday,"December 15, 2011",7:30 PM,10:00 PM,"PAC 9,10"
CS 458,"001,002",Tuesday,"December 20, 2011",12:30 PM,3:00 PM,"RCH 103,105"
CS 466,001,Monday,"December 12, 2011",12:30 PM,3:00 PM,MC 4059
CS 475,001,Thursday,"December 15, 2011",12:30 PM,3:00 PM,PAC 3
CS 486,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,RCH 301
CS 488,001,Friday,"December 9, 2011",12:30 PM,3:00 PM,PAC 9
CS 489,001,Monday,"December 12, 2011",9:00 AM,11:30 AM,RCH 306
CS 489,002,Friday,"December 9, 2011",9:00 AM,11:30 AM,MC 4041
CS 645,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,RCH 305
CS 646,001,Saturday,"December 17, 2011",9:00 AM,11:30 AM,MC 2034
CS 654,001,Saturday,"December 17, 2011",7:30 PM,10:00 PM,MC 4059
CS 656,001,Thursday,"December 15, 2011",7:30 PM,10:00 PM,"PAC 9,10"
CS 658,"001,002",Tuesday,"December 20, 2011",12:30 PM,3:00 PM,"RCH 103,105"
CS 666,001,Monday,"December 12, 2011",12:30 PM,3:00 PM,MC 4059
CS 686,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,RCH 301
CS 688,001,Friday,"December 9, 2011",12:30 PM,3:00 PM,PAC 9
CS 698,002,Friday,"December 9, 2011",9:00 AM,11:30 AM,MC 4041
CS 698,003,Monday,"December 12, 2011",9:00 AM,11:30 AM,"RCH 306 DC 1350,1351"
DRAMA 101A,001,Thursday,"December 8, 2011",7:30 PM,10:00 PM,DC 1350
DRAMA 386,001,Monday,"December 12, 2011",9:00 AM,11:30 AM,STJ 2011
DRAMA 386,,,,View your exam schedule in Quest,,,,
DUTCH 101,001,Wednesday,"December 21, 2011",9:00 AM,11:30 AM,AL 105
DUTCH 101,,,,View your exam schedule in Quest,,,,
DUTCH 201,001,Saturday,"December 17, 2011",7:30 PM,10:00 PM,AL 209
EARTH 121,001,Thursday,"December 22, 2011",9:00 AM,11:00 AM,"PAC 7,8"
EARTH 121,,,,View your exam schedule in Quest,,,,
EARTH 121L,001 to 005,Tuesday,"December 20, 2011",7:30 PM,9:00 PM,"PAC 2,3"
EARTH 123,001,Thursday,"December 15, 2011",12:30 PM,3:00 PM,"PAC 11,12"
EARTH 205,001,Tuesday,"December 13, 2011",7:30 PM,10:00 PM,MC 4060
EARTH 231,001,Friday,"December 9, 2011",4:00 PM,6:30 PM,RCH 302
EARTH 235,001,Thursday,"December 22, 2011",7:30 PM,10:00 PM,PAC 4
EARTH 260,001,Monday,"December 19, 2011",12:30 PM,3:00 PM,RCH 301
EARTH 332,001,Wednesday,"December 21, 2011",12:30 PM,3:00 PM,RCH 305
EARTH 342,001,Saturday,"December 17, 2011",7:30 PM,10:00 PM,MC 1085
EARTH 359,001,Saturday,"December 10, 2011",7:30 PM,10:00 PM,RCH 105
EARTH 421,001,Friday,"December 16, 2011",12:30 PM,3:00 PM,PAC 9
EARTH 440,001,Tuesday,"December 13, 2011",9:00 AM,11:30 AM,RCH 204
EARTH 458,001,Tuesday,"December 20, 2011",4:00 PM,6:30 PM,RCH 204
EARTH 461,001,Thursday,"December 8, 2011",4:00 PM,6:30 PM,RCH 205
EARTH 668,001,Thursday,"December 8, 2011",4:00 PM,6:30 PM,RCH 205
EASIA 210R,001,Tuesday,"December 13, 2011",7:30 PM,10:00 PM,REN 2106
