Exam,Section(s),Day,Date,Start,End,Location,
ACTSC 221,001,Wednesday,"August 13, 2014",4:00 PM,6:30 PM,PAC 3,
ACTSC 231,001,Tuesday,"August 12, 2014",4:00 PM,6:30 PM,"PAC 1,2,3",
ACTSC 232,001,Saturday,"August 9, 2014",7:30 PM,10:00 PM,"PAC 1,2",
ACTSC 331,001,Monday,"August 11, 2014",7:30 PM,10:00 PM,PAC 1,
ACTSC 371,001,Friday,"August 8, 2014",7:30 PM,10:00 PM,"PAC 1,2",
ACTSC 372,001,Friday,"August 8, 2014",12:30 PM,3:00 PM,"PAC 1,2",
ACTSC 431,001,Thursday,"August 14, 2014",9:00 AM,11:30 AM,"PAC 1,2",
ACTSC 432,001,Tuesday,"August 12, 2014",4:00 PM,6:30 PM,PAC 4,
ACTSC 445,001,Wednesday,"August 6, 2014",12:30 PM,3:00 PM,"PAC 1,2",
ACTSC 831,001,Thursday,"August 14, 2014",9:00 AM,11:30 AM,"PAC 1,2",
ACTSC 832,001,Tuesday,"August 12, 2014",4:00 PM,6:30 PM,PAC 4,
ACTSC 845,001,Wednesday,"August 6, 2014",12:30 PM,3:00 PM,"PAC 1,2",
AFM 101,001,Thursday,"August 7, 2014",9:00 AM,11:30 AM,"PAC 4,5",
AFM 102,001,Tuesday,"August 5, 2014",12:30 PM,3:00 PM,"PAC 4,5",
AFM 121,001,Monday,"August 11, 2014",9:00 AM,11:00 AM,MC 4040,
AFM 211,001,Exam removed from the schedule.  Contact instructor for further information.,,,,,
AFM 231,001 to 005,Monday,"August 11, 2014",12:30 PM,3:00 PM,"PAC 1,2,3",
AFM 241,001 to 004,Wednesday,"August 13, 2014",12:30 PM,2:30 PM,"CPH 1346, E2 1310, PAS 1237",
AFM 272,"001,002",Thursday,"August 14, 2014",9:00 AM,11:00 AM,CPH 1346,
AFM 273,001,Thursday,"August 14, 2014",9:00 AM,11:00 AM,CPH 1346,
AFM 274,001 to 004,Wednesday,"August 6, 2014",9:00 AM,11:30 AM,"PAC 1,2,3",
AFM 280,001 to 006,Friday,"August 15, 2014",12:30 PM,3:00 PM,"PAC 4,5,6",
AFM 322,001,Tuesday,"August 12, 2014",7:30 PM,9:30 PM,MC 4020,
AFM 351,001 to 004,Monday,"August 11, 2014",12:30 PM,3:00 PM,"CPH 1346, E2 1310, PAS 1237",
AFM 352,001,Wednesday,"August 13, 2014",9:00 AM,11:30 AM,CPH 1346,
AFM 363,001 to 005,Tuesday,"August 5, 2014",4:00 PM,6:00 PM,"DC 1350,1351,MC 1056",
AFM 474,001,Tuesday,"August 12, 2014",7:30 PM,9:30 PM,MC 4020,
AFM 481,001 to 005,Thursday,"August 7, 2014",4:00 PM,6:30 PM,"PAC 4,5,6",
AMATH 231,001,Thursday,"August 14, 2014",7:30 PM,10:00 PM,PAC 4,
AMATH 242,001,Saturday,"August 9, 2014",12:30 PM,3:00 PM,PAC 8,
AMATH 250,001,Saturday,"August 16, 2014",7:30 PM,10:00 PM,"PAC 1,2",
AMATH 332,001,Saturday,"August 9, 2014",7:30 PM,10:00 PM,PAC 3,
AMATH 351,001,Thursday,"August 14, 2014",12:30 PM,3:00 PM,PAC 10,
AMATH 353,001,Friday,"August 15, 2014",4:00 PM,6:30 PM,PAC 4,
ARBUS 202,001,Tuesday,"August 12, 2014",12:30 PM,3:00 PM,RCH 301,
ARBUS 202,002,Tuesday,"August 12, 2014",12:30 PM,3:00 PM,RCH 302,
ARBUS 202,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
ARCH 277,001,Monday,"August 11, 2014",9:00 AM,11:30 AM,RCH 301,
BIOL 110,001,Saturday,"August 9, 2014",7:30 PM,10:00 PM,PAC 8,
BIOL 120,001,Monday,"August 11, 2014",9:00 AM,11:30 AM,"PAC 9,10",
BIOL 130,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
BIOL 239,001,Wednesday,"August 13, 2014",9:00 AM,11:30 AM,"PAC 11,12",
BIOL 240,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
BIOL 240L,001 to 003,Friday,"August 15, 2014",9:00 AM,10:00 AM,MC 1085,
BIOL 241,001,Friday,"August 15, 2014",12:30 PM,3:00 PM,"PAC 7,8",
BIOL 273,001,Monday,"August 11, 2014",7:30 PM,10:00 PM,"PAC 6,7,8",
BIOL 273L,001 to 003,Saturday,"August 16, 2014",9:00 AM,10:00 AM,MC 1085,
BIOL 280,001,Tuesday,"August 5, 2014",12:30 PM,3:00 PM,MC 4045,
BIOL 303,001,Tuesday,"August 12, 2014",12:30 PM,3:00 PM,"PAC 11,12",
BIOL 308,001,Wednesday,"August 13, 2014",7:30 PM,10:00 PM,"PAC 7,8",
BIOL 309,001,Saturday,"August 16, 2014",7:30 PM,10:00 PM,PAC 8,
BIOL 342,001,Friday,"August 8, 2014",12:30 PM,3:00 PM,MC 2034,
BIOL 354,001,Thursday,"August 14, 2014",12:30 PM,3:00 PM,"PAC 11,12",
BIOL 373,001,Thursday,"August 7, 2014",4:00 PM,6:30 PM,"PAC 7,8",
BIOL 373L,"001,002",Tuesday,"August 5, 2014",7:30 PM,8:30 PM,MC 4061,
BUS 111W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 121W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 127W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 231W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 247W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 352W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 353W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 357W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 362W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 383W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 387W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 393W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 395W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 397W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 398W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 412W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 413W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 417W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 423W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 443W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 447W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 452W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 456W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 463W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 466W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 467W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 473W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 477W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 480NW,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 480VW,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 481W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 486W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 487W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 497JW,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
BUS 497KW,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,
CHE 101,001,Tuesday,"August 5, 2014",12:30 PM,3:00 PM,MC 1085,
CHE 102,001,Friday,"August 8, 2014",12:30 PM,3:00 PM,"PAC 9,10",
CHE 121,001,Thursday,"August 14, 2014",12:30 PM,3:00 PM,PAC 7,
CHE 161,001,Saturday,"August 16, 2014",12:30 PM,3:00 PM,PAC 1,
CHE 211,001,Thursday,"August 14, 2014",4:00 PM,6:30 PM,PAC 3,
