Exam,Section(s),Day,Date,Start,Finish,Location,,,,,,,,
AMATH 673,001,Wednesday,"December 16, 2015",9:00 AM,11:30 AM,RCH 105,,,,,,,,
ANTH 100,001,Friday,"December 11, 2015",12:30 PM,3:00 PM,DC 1350,,,,,,,,
ANTH 201,001,Thursday,"December 17, 2015",9:00 AM,11:30 AM,EV3 1408,,,,,,,,
ANTH 204,001,Wednesday,"December 16, 2015",4:00 PM,6:30 PM,AL 124,,,,,,,,
ANTH 261,001,Tuesday,"December 15, 2015",12:30 PM,3:00 PM,AL 208,,,,,,,,
ANTH 311,001,Tuesday,"December 8, 2015",12:30 PM,3:00 PM,PAS 1229,,,,,,,,
ANTH 330,001,Monday,"December 14, 2015",9:00 AM,11:30 AM,PAS 1229,,,,,,,,
ANTH 355,001,Saturday,"December 12, 2015",7:30 PM,10:00 PM,PAS 1098D,,,,,,,,
APPLS 301,001,Wednesday,"December 9, 2015",9:00 AM,11:30 AM,AL 105,,,,,,,,
ARBUS 101,"001,002",Wednesday,"December 16, 2015",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9,10,11, MC 1085",,,,,,,,
ARBUS 202,001,Friday,"December 18, 2015",4:00 PM,6:30 PM,EV3 1408,,,,,,,,
ARBUS 202,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
ARBUS 301,001 to 003,Saturday,"December 19, 2015",12:30 PM,3:00 PM,M3 1006,,,,,,,,
ARTS 280,001,Tuesday,"December 15, 2015",7:30 PM,10:00 PM,DC 1350,,,,,,,,
BIOL 110,001,Tuesday,"December 22, 2015",4:00 PM,6:30 PM,"DC 1350,1351",,,,,,,,
BIOL 130,001 to 003,Tuesday,"December 15, 2015",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7,8,9,10,11
DC 1350,1351",,,,,,,,
BIOL 130,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
BIOL 150,"001,002",Saturday,"December 19, 2015",12:30 PM,3:00 PM,"CIF1 A-Z, CIF2 A-C",,,,,,,,
BIOL 225,001,Tuesday,"December 22, 2015",7:30 PM,10:00 PM,DC 1350,,,,,,,,
BIOL 239,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
BIOL 240,"001,002",Monday,"December 21, 2015",7:30 PM,10:00 PM,"CIF1 A-Z, CIF2 A-M, DC 1350",,,,,,,,
BIOL 240,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
BIOL 240L,001 to 019,Friday,"December 18, 2015",4:00 PM,5:00 PM,"CIF1 A-Z, CIF2 A-J",,,,,,,,
BIOL 266,001,Thursday,"December 10, 2015",12:30 PM,3:00 PM,"MC 2017,2054",,,,,,,,
BIOL 273,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
BIOL 301,001,Wednesday,"December 16, 2015",12:30 PM,3:00 PM,CIF1 A-V,,,,,,,,
BIOL 303,001,Monday,"December 14, 2015",12:30 PM,3:00 PM,"RCH 103,105,301,302,305",,,,,,,,
BIOL 308,001,Friday,"December 11, 2015",9:00 AM,11:30 AM,"PAC 1,2,3,8",,,,,,,,
BIOL 309,001,Saturday,"December 19, 2015",9:00 AM,11:30 AM,"RCH 301,302,305,307",,,,,,,,
BIOL 310,001,Thursday,"December 17, 2015",7:30 PM,10:00 PM,MC 4042,,,,,,,,
BIOL 335L,"001,002",Tuesday,"December 22, 2015",4:00 PM,6:30 PM,MC 4059,,,,,,,,
BIOL 342,001,Thursday,"December 17, 2015",7:30 PM,10:00 PM,CIF2 J-M,,,,,,,,
BIOL 345,001,Friday,"December 18, 2015",4:00 PM,6:30 PM,MC 1085,,,,,,,,
BIOL 350,001,Thursday,"December 10, 2015",7:30 PM,10:00 PM,"RCH 301,302",,,,,,,,
BIOL 354,001,Tuesday,"December 15, 2015",9:00 AM,11:30 AM,M3 1006,,,,,,,,
BIOL 355,001,Thursday,"December 10, 2015",12:30 PM,3:00 PM,"RCH 301,302,305,306,307",,,,,,,,
BIOL 359,001,Tuesday,"December 8, 2015",12:30 PM,3:00 PM,"RCH 103,105,110,112",,,,,,,,
BIOL 370,001,Saturday,"December 12, 2015",7:30 PM,10:00 PM,MC 1085,,,,,,,,
BIOL 376,001,Wednesday,"December 9, 2015",4:00 PM,6:30 PM,PAC 11,,,,,,,,
BIOL 403,001,Exam removed from the schedule. Contact instructor for further information.,,,,,,,,,,,,
BIOL 434,001,Friday,"December 18, 2015",7:30 PM,10:00 PM,DC 1350,,,,,,,,
BIOL 439,001,Monday,"December 21, 2015",4:00 PM,6:30 PM,M3 1006,,,,,,,,
BIOL 443,001,Saturday,"December 12, 2015",12:30 PM,3:00 PM,MC 1085,,,,,,,,
BIOL 444,001,Monday,"December 21, 2015",12:30 PM,3:00 PM,MC 4061,,,,,,,,
BIOL 447,001,Monday,"December 14, 2015",4:00 PM,6:30 PM,RCH 301,,,,,,,,
BIOL 448,001,Wednesday,"December 9, 2015",4:00 PM,6:30 PM,PAC 9,,,,,,,,
BIOL 456,001,Wednesday,"December 9, 2015",7:30 PM,10:00 PM,MC 4044,,,,,,,,
BIOL 473,001,Monday,"December 14, 2015",9:00 AM,11:30 AM,"RCH 110,112",,,,,,,,
BIOL 479,001,Tuesday,"December 8, 2015",4:00 PM,6:30 PM,DC 1350,,,,,,,,
BME 101L,001,Tuesday,"December 8, 2015",12:30 PM,3:00 PM,E2 1310,,,,,,,,
BME 121,001,Friday,"December 11, 2015",9:00 AM,11:30 AM,E2 1306,,,,,,,,
BME 161,001,Tuesday,"December 22, 2015",12:30 PM,3:00 PM,"RCH 301,302",,,,,,,,
BME 181,001,Wednesday,"December 9, 2015",12:30 PM,3:00 PM,RCH 307,,,,,,,,
BME 213,001,Wednesday,"December 9, 2015",9:00 AM,11:30 AM,CPH 3602,,,,,,,,
BME 261,001,Wednesday,"December 16, 2015",9:00 AM,11:30 AM,CPH 3602,,,,,,,,
BME 281,001,Tuesday,"December 8, 2015",12:30 PM,3:00 PM,CPH 3602,,,,,,,,
BME 283,001,Monday,"December 14, 2015",9:00 AM,11:30 AM,CPH 3602,,,,,,,,
BUS 111W,,Saturday,"December 12, 2015",12:30 PM,3:00 PM,"PAC 5,6,7,8",,,,,,,,
BUS 127W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 231W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 247W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 283W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 288W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 352W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 353W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 354W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 357W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 362W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 385W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 387W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 393W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 397W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 403W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 408W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 413W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 423W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 447W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 451W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 452W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 466W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 467W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 473W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 481W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 482W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 486W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 487W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
BUS 497JW,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
CHE 100,001,Thursday,"December 10, 2015",12:30 PM,3:00 PM,M3 1006,,,,,,,,
CHE 102,001 to 012,Saturday,"December 19, 2015",9:00 AM,11:30 AM,"CIF1 A-Z, CIF2 A-M
DC 1350,1351, M3 1006
MC 4020,4021,4059,4060,4061",,,,,,,,
CHE 200,001,Tuesday,"December 15, 2015",4:00 PM,6:30 PM,"RCH 307,308",,,,,,,,
CHE 211,001,Monday,"December 21, 2015",12:30 PM,3:00 PM,MC 1085,,,,,,,,
CHE 220,001,Thursday,"December 10, 2015",9:00 AM,11:30 AM,"E6 2024,4022",,,,,,,,
CHE 230,001,Tuesday,"December 8, 2015",12:30 PM,3:00 PM,RCH 301,,,,,,,,
CHE 231,001,Tuesday,"December 8, 2015",12:30 PM,3:00 PM,"E6 2024,4022",,,,,,,,
CHE 241,001,Friday,"December 11, 2015",9:00 AM,11:30 AM,"PAC 9,10",,,,,,,,
CHE 313,001,Saturday,"December 19, 2015",12:30 PM,3:00 PM,CIF2 D-H,,,,,,,,
CHE 314,001,Monday,"December 14, 2015",9:00 AM,11:30 AM,RCH 301,,,,,,,,
CHE 331,001,Friday,"December 11, 2015",7:30 PM,10:00 PM,"E6 2024,4022",,,,,,,,
CHE 420,001,Monday,"December 14, 2015",9:00 AM,11:30 AM,"E6 2024,4022",,,,,,,,
CHE 425,001,Wednesday,"December 9, 2015",4:00 PM,6:30 PM,PAC 2,,,,,,,,
CHE 480,001,Wednesday,"December 16, 2015",12:30 PM,3:00 PM,"E6 2024,4022",,,,,,,,
CHE 514,001,Monday,"December 21, 2015",12:30 PM,3:00 PM,"E6 2024,4022",,,,,,,,
CHE 516,001,Tuesday,"December 8, 2015",9:00 AM,11:30 AM,"RCH 110,112",,,,,,,,
CHE 541,001,Saturday,"December 12, 2015",7:30 PM,10:00 PM,E6 4022,,,,,,,,
CHE 571,001,Thursday,"December 17, 2015",9:00 AM,11:30 AM,"E6 2024,4022",,,,,,,,
CHE 614,001,Monday,"December 21, 2015",12:30 PM,3:00 PM,"E6 2024,4022",,,,,,,,
CHE 622,001,Wednesday,"December 9, 2015",4:00 PM,6:30 PM,PAC 2,,,,,,,,
CHEM 120,001 to 005,Tuesday,"December 8, 2015",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9,10,11
DC 1350,1351, M3 1006
MC 4020,4021,4059,4061",,,,,,,,
CHEM 120L,002 to 016,Tuesday,"December 8, 2015",7:30 PM,9:30 PM,"PAC 1,2,3,4,5,6,7,8,9,10,11
DC 1350,1351, MC 4020,4021",,,,,,,,
CHEM 123,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
CHEM 209,001,Thursday,"December 17, 2015",4:00 PM,6:30 PM,CIF1 A-Q,,,,,,,,
CHEM 220,001,Wednesday,"December 16, 2015",9:00 AM,11:30 AM,"RCH 301,302,307",,,,,,,,
CHEM 237,001,Saturday,"December 19, 2015",7:30 PM,10:00 PM,CIF1 G-Q,,,,,,,,
CHEM 237L,001 to 003,Tuesday,"December 15, 2015",4:00 PM,6:00 PM,"MC 2034,2035,2038",,,,,,,,
CHEM 240,001,Tuesday,"December 22, 2015",4:00 PM,6:30 PM,MC 1085,,,,,,,,
CHEM 262,001,Saturday,"December 12, 2015",12:30 PM,3:00 PM,DC 1350,,,,,,,,
CHEM 264,001,Wednesday,"December 9, 2015",9:00 AM,11:30 AM,"PAC 8,9,10,11",,,,,,,,
CHEM 266,"001,002",Wednesday,"December 9, 2015",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7",,,,,,,,
CHEM 266,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
CHEM 310,001,Monday,"December 21, 2015",7:30 PM,10:00 PM,MC 2054,,,,,,,,
CHEM 331,001,Tuesday,"December 8, 2015",7:30 PM,10:00 PM,"MC 4059,4061",,,,,,,,
CHEM 333,001,Saturday,"December 19, 2015",7:30 PM,9:30 PM,DC 1350,,,,,,,,
CHEM 356,001,Thursday,"December 10, 2015",4:00 PM,6:30 PM,"MC 2017,2054",,,,,,,,
CHEM 370,001,Tuesday,"December 8, 2015",12:30 PM,3:00 PM,MC 4045,,,,,,,,
CHEM 404,001,Monday,"December 21, 2015",9:00 AM,11:30 AM,MC 2017,,,,,,,,
CHEM 430,001,Friday,"December 18, 2015",12:30 PM,2:30 PM,RCH 211,,,,,,,,
CHEM 432,001,Friday,"December 11, 2015",9:00 AM,11:30 AM,PAC 11,,,,,,,,
CHEM 460,001,Tuesday,"December 8, 2015",12:30 PM,3:00 PM,MC 4064,,,,,,,,
CHEM 460,002,Monday,"December 14, 2015",9:00 AM,11:30 AM,C2 361,,,,,,,,
CHEM 464,001,Tuesday,"December 15, 2015",4:00 PM,6:30 PM,RCH 211,,,,,,,,
CHEM 482,001,Wednesday,"December 9, 2015",9:00 AM,11:30 AM,RCH 209,,,,,,,,
CHEM 770,001,Tuesday,"December 8, 2015",12:30 PM,3:00 PM,MC 4045,,,,,,,,
CHINA 101R,"001,002",Wednesday,"December 16, 2015",7:30 PM,10:00 PM,REN 2106,,,,,,,,
CHINA 101R,003,Wednesday,"December 16, 2015",7:30 PM,10:00 PM,REN 2102,,,,,,,,
CHINA 102R,001,Tuesday,"December 8, 2015",9:00 AM,11:30 AM,REN 2102,,,,,,,,
CHINA 120R,001,Saturday,"December 19, 2015",9:00 AM,11:30 AM,REN 2107,,,,,,,,
CHINA 120R,002,Saturday,"December 19, 2015",9:00 AM,11:30 AM,REN 2102,,,,,,,,
CHINA 201R,001,Saturday,"December 12, 2015",12:30 PM,3:00 PM,REN 2918,,,,,,,,
CHINA 202R,001,Wednesday,"December 9, 2015",9:00 AM,11:30 AM,REN 2104,,,,,,,,
CHINA 272R,001,Thursday,"December 10, 2015",9:00 AM,11:30 AM,REN 2106,,,,,,,,
CHINA 301R,001,Wednesday,"December 16, 2015",12:30 PM,3:00 PM,REN 2104,,,,,,,,
CIVE 115,"001,002",Monday,"December 14, 2015",4:00 PM,6:30 PM,CIF1 A-P,,,,,,,,
CIVE 204,001,Saturday,"December 12, 2015",9:00 AM,11:30 AM,"CPH 3602,3604,3607",,,,,,,,
CIVE 221,001,Tuesday,"December 15, 2015",9:00 AM,11:30 AM,"CPH 3602,3604,3607",,,,,,,,
CIVE 224,001,Friday,"December 18, 2015",9:00 AM,11:30 AM,"CPH 3602,3604,3607",,,,,,,,
CIVE 265,001,Thursday,"December 10, 2015",9:00 AM,11:30 AM,"CPH 3602,3604,3607",,,,,,,,
CIVE 292,001,Tuesday,"December 8, 2015",9:00 AM,11:30 AM,"CPH 3602,3604,3607",,,,,,,,
CIVE 306,001,Exam removed from the schedule. Contact instructor for further information.,,,,,,,,,,,,
CIVE 313,001,Friday,"December 11, 2015",9:00 AM,11:30 AM,DC 1351,,,,,,,,
CIVE 332,001,Tuesday,"December 15, 2015",4:00 PM,6:30 PM,"DWE 1501,3522",,,,,,,,
CIVE 343,001,Monday,"December 21, 2015",7:30 PM,10:00 PM,CPH 3607,,,,,,,,
CIVE 354,001,Tuesday,"December 8, 2015",4:00 PM,6:30 PM,"CPH 3602,3604,3607",,,,,,,,
CIVE 381,001,Friday,"December 18, 2015",12:30 PM,3:00 PM,CPH 3604,,,,,,,,
CIVE 486,001,Thursday,"December 10, 2015",12:30 PM,3:00 PM,CPH 3607,,,,,,,,
CIVE 497,001,Wednesday,"December 9, 2015",12:30 PM,3:00 PM,DWE 2402,,,,,,,,
CLAS 100,001,Saturday,"December 19, 2015",7:30 PM,10:00 PM,CIF2 H-M,,,,,,,,
CLAS 105,001,Friday,"December 18, 2015",12:30 PM,2:30 PM,"MC 2017,2054",,,,,,,,
CLAS 221,001,Thursday,"December 17, 2015",9:00 AM,11:30 AM,EV3 1408,,,,,,,,
CLAS 231,001,Monday,"December 14, 2015",7:30 PM,9:30 PM,MC 4042,,,,,,,,
CLAS 261,001,Tuesday,"December 8, 2015",9:00 AM,11:30 AM,STJ 2011,,,,,,,,
CLAS 261,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
CLAS 311,001,Wednesday,"December 9, 2015",9:00 AM,11:00 AM,RCH 204,,,,,,,,
CLAS 486,001,Tuesday,"December 8, 2015",9:00 AM,11:00 AM,ML 212,,,,,,,,
CLAS 651,001,Tuesday,"December 8, 2015",9:00 AM,11:00 AM,ML 212,,,,,,,,
CM 762,001,Wednesday,"December 16, 2015",7:30 PM,10:00 PM,MC 4021,,,,,,,,
CMW 363,001,Monday,"December 14, 2015",7:30 PM,10:00 PM,CGC 1208,,,,,,,,
CO 227,001,Tuesday,"December 22, 2015",9:00 AM,11:30 AM,MC 4059,,,,,,,,
CO 250,"001,002",Saturday,"December 19, 2015",9:00 AM,11:30 AM,"RCH 103,105,110,112",,,,,,,,
CO 330,001,Friday,"December 11, 2015",12:30 PM,3:00 PM,PAC 9,,,,,,,,
CO 342,001,Tuesday,"December 22, 2015",9:00 AM,11:30 AM,MC 2034,,,,,,,,
CO 351,001,Monday,"December 14, 2015",7:30 PM,10:00 PM,PAC 8,,,,,,,,
CO 370,001,Monday,"December 14, 2015",4:00 PM,6:30 PM,"MC 2034,2035",,,,,,,,
CO 372,001,Tuesday,"December 22, 2015",4:00 PM,6:30 PM,MC 4061,,,,,,,,
CO 430,001,Tuesday,"December 8, 2015",4:00 PM,6:30 PM,RCH 206,,,,,,,,
CO 442,001,Wednesday,"December 9, 2015",12:30 PM,3:00 PM,PAC 9,,,,,,,,
CO 450,001,Exam removed from the schedule. Contact instructor for further information.,,,,,,,,,,,,
CO 456,001,Saturday,"December 12, 2015",12:30 PM,3:00 PM,PAC 11,,,,,,,,
CO 485,001,Tuesday,"December 8, 2015",12:30 PM,3:00 PM,AL 105,,,,,,,,
CO 630,001,Tuesday,"December 8, 2015",4:00 PM,6:30 PM,RCH 206,,,,,,,,
CO 642,001,Wednesday,"December 9, 2015",12:30 PM,3:00 PM,PAC 9,,,,,,,,
CO 650,001,Exam removed from the schedule. Contact instructor for further information.,,,,,,,,,,,,
CO 685,001,Tuesday,"December 8, 2015",12:30 PM,3:00 PM,AL 105,,,,,,,,
COMM 231,001,Saturday,"December 19, 2015",7:30 PM,10:00 PM,CIF1 R-Y,,,,,,,,
COMM 421,001,Monday,"December 14, 2015",9:00 AM,11:30 AM,MC 4042,,,,,,,,
COMM 431,001,Friday,"December 18, 2015",4:00 PM,6:30 PM,MC 4041,,,,,,,,
CROAT 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
CROAT 201,001,Tuesday,"December 8, 2015",7:30 PM,10:00 PM,ML 212,,,,,,,,
CS 100,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
CS 115,"001,003,005 to 008",Thursday,"December 17, 2015",9:00 AM,11:30 AM,"CIF1 A-Z, CIF2 A-M",,,,,,,,
CS 115,"002,004",Thursday,"December 17, 2015",9:00 AM,11:30 AM,M3 1006,,,,,,,,
CS 115,009,Thursday,"December 17, 2015",9:00 AM,11:30 AM,MC 1085,,,,,,,,
CS 115,010,Thursday,"December 17, 2015",9:00 AM,11:30 AM,"MC 2017,2054",,,,,,,,
CS 116,001 to 003,Thursday,"December 17, 2015",9:00 AM,11:30 AM,"MC 4020,4021,4059,4061",,,,,,,,
CS 135,"001,005",Thursday,"December 17, 2015",12:30 PM,3:00 PM,M3 1006,,,,,,,,
CS 135,"002 to 004, 006 to 010",Thursday,"December 17, 2015",12:30 PM,3:00 PM,"CIF1 A-Z, CIF2 A-M",,,,,,,,
CS 135,011,Thursday,"December 17, 2015",12:30 PM,3:00 PM,"MC 2017,2054",,,,,,,,
CS 136,001 to 003,Thursday,"December 17, 2015",12:30 PM,3:00 PM,"DC 1350,1351",,,,,,,,
CS 137,001,Thursday,"December 17, 2015",9:00 AM,11:30 AM,"MC 2034,2035,2038",,,,,,,,
