Exam,Section(s),Day,Date,Start,Finish,Location,,,,,,,,,,,,,,,
AMATH 250,001,Thursday,"December 18, 2014",7:30 PM,10:00 PM,"PAC 1,2,3",,,,,,,,,,,,,,,
AMATH 251,001,Thursday,"December 4, 2014",12:30 PM,3:00 PM,MC 4041,,,,,,,,,,,,,,,
AMATH 271,001,Thursday,"December 18, 2014",12:30 PM,3:00 PM,PAC 9,,,,,,,,,,,,,,,
AMATH 331,001,Wednesday,"December 17, 2014",9:00 AM,11:30 AM,PAC 5,,,,,,,,,,,,,,,
AMATH 350,001,Thursday,"December 4, 2014",9:00 AM,11:30 AM,RCH 301,,,,,,,,,,,,,,,
AMATH 351,001,Tuesday,"December 16, 2014",4:00 PM,6:30 PM,PAC 11,,,,,,,,,,,,,,,
AMATH 442,001,Wednesday,"December 10, 2014",7:30 PM,10:00 PM,PAC 9,,,,,,,,,,,,,,,
AMATH 463,001,Friday,"December 12, 2014",9:00 AM,11:30 AM,RCH 205,,,,,,,,,,,,,,,
AMATH 473,001,Saturday,"December 6, 2014",12:30 PM,3:00 PM,PAC 9,,,,,,,,,,,,,,,
AMATH 663,001,Friday,"December 12, 2014",9:00 AM,11:30 AM,RCH 205,,,,,,,,,,,,,,,
ANTH 101,001,Saturday,"December 6, 2014",12:30 PM,3:00 PM,"PAC 1,2",,,,,,,,,,,,,,,
ANTH 102,001,Thursday,"December 18, 2014",12:30 PM,2:30 PM,M3 1006,,,,,,,,,,,,,,,
ANTH 201,001,Monday,"December 15, 2014",7:30 PM,9:30 PM,RCH 211,,,,,,,,,,,,,,,
ANTH 202,001,Monday,"December 15, 2014",9:00 AM,11:30 AM,PAS 1241,,,,,,,,,,,,,,,
ANTH 290,001,Thursday,"December 11, 2014",4:00 PM,6:00 PM,PAS 1241,,,,,,,,,,,,,,,
ANTH 352,001,Exam removed from schedule. Contact instructor for further information.,,,,,,,,,,,,,,,,,,,
ANTH 355,001,Thursday,"December 4, 2014",12:30 PM,3:00 PM,PAS 2214,,,,,,,,,,,,,,,
APPLS 205R,001,Monday,"December 8, 2014",7:30 PM,10:00 PM,REN 2106,,,,,,,,,,,,,,,
APPLS 301,001,Tuesday,"December 9, 2014",4:00 PM,6:30 PM,AL 105,,,,,,,,,,,,,,,
ARBUS 101,"001,002",Thursday,"December 11, 2014",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,11,12",,,,,,,,,,,,,,,
ARBUS 202,001,Tuesday,"December 9, 2014",12:30 PM,3:00 PM,"HH 1101,1102",,,,,,,,,,,,,,,
ARBUS 202,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
ARBUS 301,001 to 004,Thursday,"December 4, 2014",7:30 PM,10:00 PM,"DC 1350,1351",,,,,,,,,,,,,,,
ARTS 125,001,Friday,"December 12, 2014",12:30 PM,3:00 PM,CGC 1300,,,,,,,,,,,,,,,
ARTS 280,001,Friday,"December 12, 2014",7:30 PM,10:00 PM,"PAC 11,12",,,,,,,,,,,,,,,
ARTS 290,001,Friday,"December 12, 2014",12:30 PM,3:00 PM,PAS 2086,,,,,,,,,,,,,,,
BIOL 110,001,Friday,"December 19, 2014",9:00 AM,11:30 AM,"PAC 1,2,3",,,,,,,,,,,,,,,
BIOL 130,001 to 003,Wednesday,"December 17, 2014",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12,
DC 1350,1351,MC 1056",,,,,,,,,,,,,,,
BIOL 130,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
BIOL 150,"001,002",Tuesday,"December 9, 2014",9:00 AM,11:30 AM,"PAC 4,5,6,7,11,12",,,,,,,,,,,,,,,
BIOL 225,001,Friday,"December 19, 2014",4:00 PM,6:30 PM,DC 1350,,,,,,,,,,,,,,,
BIOL 239,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
BIOL 240,"001,002",Friday,"December 12, 2014",7:30 PM,10:00 PM,"PAC 1,2,3,4,5,6,7,8",,,,,,,,,,,,,,,
BIOL 240,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
BIOL 240L,001 to 022,Tuesday,"December 16, 2014",12:30 PM,1:30 PM,"M3 1006,DC 1350,1351,
MC 4020,4021,4059,4061",,,,,,,,,,,,,,,
BIOL 273,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
BIOL 302,001,Friday,"December 5, 2014",12:30 PM,3:00 PM,"DC 1350,1351,MC 1085",,,,,,,,,,,,,,,
BIOL 303,001,Wednesday,"December 17, 2014",9:00 AM,11:30 AM,"DC 1350,1351",,,,,,,,,,,,,,,
BIOL 308,001,Thursday,"December 11, 2014",7:30 PM,10:00 PM,"PAC 1,2,4,5",,,,,,,,,,,,,,,
BIOL 309,001,Thursday,"December 18, 2014",12:30 PM,3:00 PM,"PAC 6,7,8",,,,,,,,,,,,,,,
BIOL 310,001,Wednesday,"December 17, 2014",4:00 PM,6:30 PM,PAC 6,,,,,,,,,,,,,,,
BIOL 321,001,Saturday,"December 6, 2014",9:00 AM,11:30 AM,B2 350,,,,,,,,,,,,,,,
BIOL 325,001,Thursday,"December 4, 2014",12:30 PM,3:00 PM,B2 350,,,,,,,,,,,,,,,
BIOL 335L,"001,002",Monday,"December 8, 2014",4:00 PM,6:30 PM,RCH 305,,,,,,,,,,,,,,,
BIOL 342,001,Tuesday,"December 16, 2014",9:00 AM,11:30 AM,"PAC 11,12",,,,,,,,,,,,,,,
BIOL 345,001,Thursday,"December 18, 2014",7:30 PM,10:00 PM,PAC 8,,,,,,,,,,,,,,,
BIOL 350,001,Wednesday,"December 17, 2014",9:00 AM,11:30 AM,M3 1006,,,,,,,,,,,,,,,
BIOL 354,001,Tuesday,"December 16, 2014",7:30 PM,10:00 PM,"PAC 11,12",,,,,,,,,,,,,,,
BIOL 355,001,Monday,"December 8, 2014",12:30 PM,3:00 PM,"M3 1006,MC 2017,2054",,,,,,,,,,,,,,,
BIOL 359,001,Friday,"December 12, 2014",12:30 PM,3:00 PM,"RCH 103,105,110,112",,,,,,,,,,,,,,,
BIOL 364,001,Thursday,"December 11, 2014",9:00 AM,11:30 AM,RCH 306,,,,,,,,,,,,,,,
BIOL 370,001,Tuesday,"December 16, 2014",9:00 AM,11:30 AM,DC 1350,,,,,,,,,,,,,,,
BIOL 433,001,Thursday,"December 11, 2014",12:30 PM,3:00 PM,RCH 112,,,,,,,,,,,,,,,
BIOL 434,001,Wednesday,"December 17, 2014",7:30 PM,10:00 PM,DC 1350,,,,,,,,,,,,,,,
BIOL 439,001,Wednesday,"December 10, 2014",4:00 PM,6:30 PM,"PAC 7,8",,,,,,,,,,,,,,,
BIOL 443,001,Tuesday,"December 9, 2014",4:00 PM,6:30 PM,"PAC 11,12",,,,,,,,,,,,,,,
BIOL 444,001,Tuesday,"December 16, 2014",12:30 PM,3:00 PM,PAC 8,,,,,,,,,,,,,,,
BIOL 447,001,Friday,"December 12, 2014",7:30 PM,10:00 PM,"PAC 9,10",,,,,,,,,,,,,,,
BIOL 448,001,Saturday,"December 13, 2014",7:30 PM,10:00 PM,MC 4064,,,,,,,,,,,,,,,
BIOL 452,001,Exam removed from schedule. Contact instructor for further information.,,,,,,,,,,,,,,,,,,,
BIOL 455,001,Saturday,"December 6, 2014",12:30 PM,3:00 PM,RCH 306,,,,,,,,,,,,,,,
BIOL 456,001,Friday,"December 12, 2014",9:00 AM,11:30 AM,RCH 206,,,,,,,,,,,,,,,
BIOL 458,001,Friday,"December 5, 2014",4:00 PM,6:30 PM,RCH 206,,,,,,,,,,,,,,,
BIOL 473,001,Saturday,"December 13, 2014",4:00 PM,6:30 PM,PAC 8,,,,,,,,,,,,,,,
BIOL 479,001,Saturday,"December 13, 2014",9:00 AM,11:30 AM,DC 1350,,,,,,,,,,,,,,,
BME 101L,001,Thursday,"December 4, 2014",9:00 AM,11:30 AM,E2 1310,,,,,,,,,,,,,,,
BME 121,001,Tuesday,"December 9, 2014",12:30 PM,3:00 PM,"E5 6006,6008",,,,,,,,,,,,,,,
BME 161,001,Thursday,"December 11, 2014",4:00 PM,6:30 PM,"E5 6004,6006,6008",,,,,,,,,,,,,,,
BME 181,001,Friday,"December 5, 2014",9:00 AM,11:30 AM,"E5 6006,6008",,,,,,,,,,,,,,,
BUS 111W,,Saturday,"December 6, 2014",12:30 PM,3:00 PM,"PAC 3,6,7,8",,,,,,,,,,,,,,,
BUS 127W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 208W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 231W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 283W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 288W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 352W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 353W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 354W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 357W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 362W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 383W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 385W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 387W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 397W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 403W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 408W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 413W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 417W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 423W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 452W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 466W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 467W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 473W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 477W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 481W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
BUS 486W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
CHE 100,001,Wednesday,"December 10, 2014",12:30 PM,3:00 PM,M3 1006,,,,,,,,,,,,,,,
CHE 102,001 to 012,Monday,"December 15, 2014",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12
M3 1006,MC 2034,2035,2038",,,,,,,,,,,,,,,
CHE 200,001,Thursday,"December 11, 2014",9:00 AM,11:30 AM,"RCH 110,112",,,,,,,,,,,,,,,
CHE 211,001,Friday,"December 5, 2014",9:00 AM,11:30 AM,"DWE 2527,2529",,,,,,,,,,,,,,,
CHE 220,001,Saturday,"December 6, 2014",9:00 AM,11:30 AM,"DC 1350,1351",,,,,,,,,,,,,,,
CHE 230,001,Thursday,"December 4, 2014",9:00 AM,11:30 AM,RCH 302,,,,,,,,,,,,,,,
CHE 231,001,Tuesday,"December 16, 2014",9:00 AM,11:30 AM,"E6 2024,4022",,,,,,,,,,,,,,,
CHE 241,001,Friday,"December 12, 2014",4:00 PM,6:20 PM,"E6 2024,4022",,,,,,,,,,,,,,,
CHE 311,001,Monday,"December 15, 2014",12:30 PM,3:00 PM,"RCH 110,112",,,,,,,,,,,,,,,
CHE 313,001,Monday,"December 8, 2014",12:30 PM,3:00 PM,"RCH 103,105",,,,,,,,,,,,,,,
CHE 325,001,Saturday,"December 13, 2014",9:00 AM,11:30 AM,PAC 8,,,,,,,,,,,,,,,
CHE 331,001,Thursday,"December 4, 2014",9:00 AM,11:30 AM,"RCH 305,307",,,,,,,,,,,,,,,
CHE 420,001,Friday,"December 5, 2014",9:00 AM,11:30 AM,"E6 2024,4022",,,,,,,,,,,,,,,
CHE 480,001,Wednesday,"December 10, 2014",12:30 PM,3:00 PM,"E6 2024,4022",,,,,,,,,,,,,,,
CHE 541,001,Saturday,"December 6, 2014",4:00 PM,6:30 PM,E6 2024,,,,,,,,,,,,,,,
CHEM 120,001 to 005,Thursday,"December 4, 2014",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12,
M3 1006,DC 1350,1351,
MC 2017,2054,4059,4061",,,,,,,,,,,,,,,
CHEM 120L,001 to 016,Friday,"December 5, 2014",7:30 PM,9:30 PM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12
DC 1350,1351,MC 1056",,,,,,,,,,,,,,,
CHEM 123,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
CHEM 209,001,Thursday,"December 11, 2014",9:00 AM,11:30 AM,"DC 1350,1351",,,,,,,,,,,,,,,
CHEM 217,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
CHEM 220,001,Wednesday,"December 17, 2014",4:00 PM,6:30 PM,"PAC 7,8",,,,,,,,,,,,,,,
CHEM 237,001,Monday,"December 8, 2014",7:30 PM,10:00 PM,M3 1006,,,,,,,,,,,,,,,
CHEM 237L,001 to 003,Thursday,"December 18, 2014",7:30 PM,9:30 PM,M3 1006,,,,,,,,,,,,,,,
CHEM 240,001,Tuesday,"December 9, 2014",7:30 PM,10:00 PM,"PAC 9,10",,,,,,,,,,,,,,,
CHEM 262,001,Monday,"December 8, 2014",12:30 PM,3:00 PM,RCH 301,,,,,,,,,,,,,,,
CHEM 264,001,Monday,"December 8, 2014",9:00 AM,11:30 AM,"DC 1350,1351",,,,,,,,,,,,,,,
CHEM 266,"001,002",Thursday,"December 4, 2014",7:30 PM,10:00 PM,"PAC 1,2,3,4,5,6,9,10,11",,,,,,,,,,,,,,,
CHEM 266,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
CHEM 310,001,Monday,"December 8, 2014",7:30 PM,10:00 PM,RCH 105,,,,,,,,,,,,,,,
CHEM 331,001,Monday,"December 15, 2014",4:00 PM,6:30 PM,"PAC 11,12",,,,,,,,,,,,,,,
CHEM 333,001,Thursday,"December 4, 2014",7:30 PM,10:00 PM,RCH 301,,,,,,,,,,,,,,,
CHEM 356,001,Wednesday,"December 10, 2014",9:00 AM,11:30 AM,MC 4045,,,,,,,,,,,,,,,
CHEM 370,001,Thursday,"December 4, 2014",12:30 PM,3:00 PM,RCH 211,,,,,,,,,,,,,,,
CHEM 404,001,Saturday,"December 13, 2014",7:30 PM,10:00 PM,PAC 10,,,,,,,,,,,,,,,
CHEM 432,001,Friday,"December 12, 2014",7:30 PM,9:30 PM,RCH 306,,,,,,,,,,,,,,,
CHEM 460,001,Friday,"December 5, 2014",7:30 PM,10:00 PM,RCH 205,,,,,,,,,,,,,,,
CHEM 464,001,Exam removed from schedule. Contact instructor for further information.,,,,,,,,,,,,,,,,,,,
CHEM 770,001,Thursday,"December 4, 2014",12:30 PM,3:00 PM,RCH 211,,,,,,,,,,,,,,,
CHINA 101R,"001,002",Tuesday,"December 16, 2014",7:30 PM,10:00 PM,"REN 0104,0106",,,,,,,,,,,,,,,
CHINA 102R,001,Monday,"December 8, 2014",9:00 AM,11:30 AM,REN 0104,,,,,,,,,,,,,,,
CHINA 120R,"001,002",Thursday,"December 18, 2014",12:30 PM,3:00 PM,REN 2106,,,,,,,,,,,,,,,
CHINA 201R,001,Thursday,"December 4, 2014",9:00 AM,11:30 AM,REN 2102,,,,,,,,,,,,,,,
CHINA 202R,001,Thursday,"December 4, 2014",9:00 AM,11:30 AM,REN 0403,,,,,,,,,,,,,,,
CHINA 272R,001,Tuesday,"December 16, 2014",4:00 PM,6:30 PM,REN 2102,,,,,,,,,,,,,,,
CHINA 301R,001,Friday,"December 5, 2014",12:30 PM,3:00 PM,REN 2102,,,,,,,,,,,,,,,
CIVE 204,001,Thursday,"December 11, 2014",9:00 AM,11:30 AM,"CPH 3602,3604,3607",,,,,,,,,,,,,,,
CIVE 221,001,Tuesday,"December 9, 2014",9:00 AM,11:30 AM,"CPH 3602,3604,3607",,,,,,,,,,,,,,,
CIVE 224,001,Thursday,"December 4, 2014",9:00 AM,11:30 AM,"CPH 3602,3604,3607",,,,,,,,,,,,,,,
CIVE 265,001,Monday,"December 15, 2014",9:00 AM,11:30 AM,"CPH 3602,3604,3607",,,,,,,,,,,,,,,
CIVE 292,001,Saturday,"December 6, 2014",9:00 AM,11:30 AM,"CPH 3602,3604,3607",,,,,,,,,,,,,,,
CIVE 306,001,Saturday,"December 6, 2014",7:30 PM,10:00 PM,"CPH 3604,3607",,,,,,,,,,,,,,,
CIVE 313,001,Friday,"December 5, 2014",9:00 AM,11:30 AM,"RCH 103,105,106",,,,,,,,,,,,,,,
CIVE 332,001,Wednesday,"December 10, 2014",9:00 AM,11:30 AM,"CPH 3602,3604,3607",,,,,,,,,,,,,,,
CIVE 343,001,Monday,"December 15, 2014",12:30 PM,3:00 PM,CPH 3607,,,,,,,,,,,,,,,
CIVE 354,001,Monday,"December 8, 2014",4:00 PM,6:30 PM,"CPH 3602,3604,3607",,,,,,,,,,,,,,,
CIVE 381,001,Friday,"December 12, 2014",12:30 PM,3:00 PM,CPH 3604,,,,,,,,,,,,,,,
CIVE 486,001,Thursday,"December 18, 2014",12:30 PM,3:00 PM,CPH 3607,,,,,,,,,,,,,,,
CIVE 497,001,Monday,"December 8, 2014",9:00 AM,11:30 AM,"E5 3101,3102",,,,,,,,,,,,,,,
CLAS 100,001,Friday,"December 19, 2014",4:00 PM,6:00 PM,DC 1351,,,,,,,,,,,,,,,
CLAS 105,001,Wednesday,"December 10, 2014",4:00 PM,6:00 PM,DC 1350,,,,,,,,,,,,,,,
CLAS 202,001,Wednesday,"December 17, 2014",7:30 PM,9:30 PM,"PAC 1,2,3,4",,,,,,,,,,,,,,,
CLAS 221,001,Monday,"December 15, 2014",7:30 PM,9:30 PM,RCH 211,,,,,,,,,,,,,,,
CLAS 242,001,Thursday,"December 4, 2014",12:30 PM,2:30 PM,AL 105,,,,,,,,,,,,,,,
CLAS 251,001,Monday,"December 8, 2014",4:00 PM,6:00 PM,RCH 307,,,,,,,,,,,,,,,
CLAS 261,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
CMW 364,001,Thursday,"December 4, 2014",9:00 AM,11:30 AM,CGC 1300,,,,,,,,,,,,,,,
CO 227,001,Friday,"December 12, 2014",4:00 PM,6:30 PM,RCH 308,,,,,,,,,,,,,,,
CO 250,"001,002",Tuesday,"December 9, 2014",7:30 PM,10:00 PM,"PAC 7,8",,,,,,,,,,,,,,,
CO 255,001,Friday,"December 5, 2014",7:30 PM,10:00 PM,RCH 209,,,,,,,,,,,,,,,
CO 330,001,Wednesday,"December 10, 2014",4:00 PM,6:30 PM,RCH 305,,,,,,,,,,,,,,,
CO 342,001,Thursday,"December 18, 2014",9:00 AM,11:30 AM,PAC 3,,,,,,,,,,,,,,,
CO 351,001,Saturday,"December 13, 2014",7:30 PM,10:00 PM,MC 4042,,,,,,,,,,,,,,,
CO 370,001,Monday,"December 15, 2014",9:00 AM,11:30 AM,"RCH 110,112",,,,,,,,,,,,,,,
CO 372,001,Saturday,"December 13, 2014",7:30 PM,10:00 PM,MC 4045,,,,,,,,,,,,,,,
CO 430,001,Monday,"December 8, 2014",7:30 PM,10:00 PM,RCH 209,,,,,,,,,,,,,,,
CO 442,001,Saturday,"December 6, 2014",7:30 PM,10:00 PM,RCH 205,,,,,,,,,,,,,,,
CO 450,001,Saturday,"December 6, 2014",9:00 AM,11:30 AM,MC 2038,,,,,,,,,,,,,,,
CO 456,001,Friday,"December 5, 2014",7:30 PM,10:00 PM,RCH 302,,,,,,,,,,,,,,,
CO 463,001,Thursday,"December 4, 2014",9:00 AM,11:30 AM,MC 4064,,,,,,,,,,,,,,,
CO 485,001,Friday,"December 5, 2014",9:00 AM,11:30 AM,MC 4064,,,,,,,,,,,,,,,
CO 630,001,Monday,"December 8, 2014",7:30 PM,10:00 PM,RCH 209,,,,,,,,,,,,,,,
CO 642,001,Saturday,"December 6, 2014",7:30 PM,10:00 PM,RCH 205,,,,,,,,,,,,,,,
CO 650,001,Saturday,"December 6, 2014",9:00 AM,11:30 AM,MC 2038,,,,,,,,,,,,,,,
CO 663,001,Thursday,"December 4, 2014",9:00 AM,11:30 AM,MC 4064,,,,,,,,,,,,,,,
CO 685,001,Friday,"December 5, 2014",9:00 AM,11:30 AM,MC 4064,,,,,,,,,,,,,,,
COMM 231,001,Thursday,"December 18, 2014",4:00 PM,6:30 PM,"PAC 1,2",,,,,,,,,,,,,,,
