Exam,Section(s),Day,Date,Start Time,End Time,Location,,,,,,,,,,,
BIOL 308,001,Monday,"December 9, 2013",9:00 AM,11:30 AM,"DC 1350,1351,MC 2034,2035",,,,,,,,,,,
BIOL 309,001,Tuesday,"December 10, 2013",9:00 AM,11:30 AM,"RCH 103,105,110,112",,,,,,,,,,,
BIOL 323,001,Tuesday,"December 17, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
BIOL 325,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
BIOL 335L,"001,002",Thursday,"December 19, 2013",9:00 AM,11:30 AM,MC 2017,,,,,,,,,,,
BIOL 342,001,Thursday,"December 12, 2013",9:00 AM,11:30 AM,"RCH 103,105",,,,,,,,,,,
BIOL 345,001,Tuesday,"December 17, 2013",7:30 PM,10:00 PM,PAC 7,,,,,,,,,,,
BIOL 350,001,Saturday,"December 14, 2013",12:30 PM,3:00 PM,"PAC 3,8",,,,,,,,,,,
BIOL 354,001,Tuesday,"December 17, 2013",9:00 AM,11:30 AM,"RCH 302,305",,,,,,,,,,,
BIOL 355,001,Wednesday,"December 11, 2013",12:30 PM,3:00 PM,"M3 1006,MC 4045,4059,4061",,,,,,,,,,,
BIOL 358,001,Wednesday,"December 18, 2013",12:30 PM,3:00 PM,PAC 9,,,,,,,,,,,
BIOL 359,001,Friday,"December 13, 2013",9:00 AM,11:30 AM,"RCH 301,302,305",,,,,,,,,,,
BIOL 370,001,Saturday,"December 14, 2013",7:30 PM,10:00 PM,MC 1085,,,,,,,,,,,
BIOL 373,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
BIOL 376,001,Tuesday,"December 17, 2013",12:30 PM,3:00 PM,MC 4045,,,,,,,,,,,
BIOL 434,001,Tuesday,"December 10, 2013",12:30 PM,3:00 PM,PAC 3,,,,,,,,,,,
BIOL 439,001,Monday,"December 16, 2013",12:30 PM,3:00 PM,"DC 1350,1351",,,,,,,,,,,
BIOL 443,001,Friday,"December 13, 2013",7:30 PM,10:00 PM,"PAC 11,12",,,,,,,,,,,
BIOL 444,001,Saturday,"December 7, 2013",12:30 PM,3:00 PM,PAC 8,,,,,,,,,,,
BIOL 448,001,Monday,"December 9, 2013",9:00 AM,11:30 AM,MC 2038,,,,,,,,,,,
BIOL 473,001,Wednesday,"December 18, 2013",4:00 PM,6:30 PM,PAC 8,,,,,,,,,,,
BIOL 479,001,Friday,"December 13, 2013",12:30 PM,3:00 PM,"MC 4020,4021",,,,,,,,,,,
BUS 111W,,Saturday,"December 7, 2013",12:30 PM,3:00 PM,"PAC 1,2,3,4,5",,,,,,,,,,,
BUS 208W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 227W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 231W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 288W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 352W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 353W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 354W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 357W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 362W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 383W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 385W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 387W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 397W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 408W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 412W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 413W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 417W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 423W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 435W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 447W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 451W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 452W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 466W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 467W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 473W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 477W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 481W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 482W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 486W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
BUS 487W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
CHE 100,001,Wednesday,"December 11, 2013",9:00 AM,11:30 AM,M3 1006,,,,,,,,,,,
CHE 102,001 to 011,Monday,"December 16, 2013",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,
CHE 200,001,Friday,"December 13, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
CHE 211,001,Monday,"December 16, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
CHE 220,001,Monday,"December 16, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CHE 230,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CHE 231,001,Monday,"December 9, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CHE 241,001,Wednesday,"December 18, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
CHE 311,001,Saturday,"December 14, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
CHE 313,001,Saturday,"December 7, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
CHE 325,001,Friday,"December 20, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CHE 331,001,Thursday,"December 12, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
CHE 420,001,Thursday,"December 19, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
CHE 480,001,Friday,"December 13, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CHE 541,001,Tuesday,"December 17, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
CHE 640,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CHEM 120,001 to 006,Friday,"December 6, 2013",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,
CHEM 120L,001 to 016,Friday,"December 6, 2013",7:30 PM,9:30 PM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,
CHEM 123,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
CHEM 209,001,Wednesday,"December 11, 2013",9:00 AM,11:30 AM,"RCH 301,302,305",,,,,,,,,,,
CHEM 217,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
CHEM 220,001,Thursday,"December 19, 2013",9:00 AM,11:30 AM,"PAC 1,2",,,,,,,,,,,
CHEM 237,001,Tuesday,"December 10, 2013",7:30 PM,10:00 PM,M3 1006,,,,,,,,,,,
CHEM 237L,001 to 004,Thursday,"December 19, 2013",7:30 PM,9:30 PM,M3 1006,,,,,,,,,,,
CHEM 240,001,Saturday,"December 14, 2013",12:30 PM,3:00 PM,PAC 11,,,,,,,,,,,
CHEM 262,001,Monday,"December 16, 2013",7:30 PM,10:00 PM,"PAC 11,12",,,,,,,,,,,
CHEM 262L,001 to 003,Thursday,"December 5, 2013",7:30 PM,10:00 PM,DC 1350,,,,,,,,,,,
CHEM 264,001,Thursday,"December 5, 2013",7:30 PM,10:00 PM,M3 1006,,,,,,,,,,,
CHEM 266,"001,002",Friday,"December 6, 2013",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7",,,,,,,,,,,
CHEM 266,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
CHEM 310,001,Wednesday,"December 18, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CHEM 331,001,Friday,"December 20, 2013",4:00 PM,6:30 PM,MC 4059,,,,,,,,,,,
CHEM 333,001,Thursday,"December 5, 2013",7:30 PM,10:00 PM,RCH 301,,,,,,,,,,,
CHEM 356,001,Friday,"December 13, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
CHEM 370,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CHEM 404,001,Friday,"December 20, 2013",9:00 AM,11:30 AM,PAC 9,,,,,,,,,,,
CHEM 430,001,Saturday,"December 7, 2013",7:30 PM,10:00 PM,RCH 206,,,,,,,,,,,
CHEM 432,001,Wednesday,"December 11, 2013",9:00 AM,11:00 AM,RCH 211,,,,,,,,,,,
CHEM 450,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
CHEM 460,001,Monday,"December 9, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
CHEM 464,001,Saturday,"December 7, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CHEM 482,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,RCH 205,,,,,,,,,,,
CHEM 750,002,Thursday,"December 5, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
CHEM 770,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CHINA 101R,"001,002",Friday,"December 20, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
CHINA 102R,001,Monday,"December 16, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CHINA 120R,001,Wednesday,"December 18, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
CHINA 200R,001,Saturday,"December 7, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
CHINA 201R,001,Thursday,"December 12, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
CHINA 202R,001,Wednesday,"December 18, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CHINA 272R,001,Saturday,"December 14, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
CHINA 301R,001,Friday,"December 20, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CHINA 390R,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CIVE 204,001,Thursday,"December 12, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CIVE 221,001,Tuesday,"December 10, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CIVE 224,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CIVE 265,001,Tuesday,"December 17, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CIVE 292,001,Saturday,"December 7, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CIVE 306,001,Saturday,"December 14, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
CIVE 313,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CIVE 332,001,Monday,"December 9, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CIVE 343,001,Monday,"December 16, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
CIVE 354,001,Thursday,"December 12, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CIVE 381,001,Friday,"December 20, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CIVE 486,001,Monday,"December 9, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
CIVE 497,001,Tuesday,"December 17, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CLAS 100,001,Monday,"December 16, 2013",9:00 AM,11:00 AM,See Prof,,,,,,,,,,,
CLAS 105,001,Monday,"December 9, 2013",4:00 PM,6:00 PM,"RCH 103,105",,,,,,,,,,,
CLAS 221,001,Wednesday,"December 11, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
CLAS 231,001,Saturday,"December 14, 2013",12:30 PM,2:30 PM,See Prof,,,,,,,,,,,
CLAS 241,001,Thursday,"December 5, 2013",4:00 PM,6:00 PM,See Prof,,,,,,,,,,,
CLAS 251,001,Monday,"December 16, 2013",12:30 PM,2:30 PM,RCH 307,,,,,,,,,,,
CLAS 321,001,Friday,"December 6, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
CLAS 351,001,Saturday,"December 7, 2013",9:00 AM,11:00 AM,RCH 205,,,,,,,,,,,
CM 762,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CM 763,001,Exam removed from the schedule.  Contact instructor for further information,,,,,,,,,,,,,,,
CMW 363,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
CO 227,001,Wednesday,"December 18, 2013",9:00 AM,11:30 AM,RCH 204,,,,,,,,,,,
CO 250,"001,002",Monday,"December 9, 2013",9:00 AM,11:30 AM,"RCH 301,302,307",,,,,,,,,,,
CO 330,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,RCH 307,,,,,,,,,,,
CO 342,001,Saturday,"December 7, 2013",12:30 PM,3:00 PM,PAC 6,,,,,,,,,,,
CO 351,001,Monday,"December 16, 2013",12:30 PM,3:00 PM,RCH 204,,,,,,,,,,,
CO 370,001,Friday,"December 13, 2013",4:00 PM,6:30 PM,"RCH 103,105",,,,,,,,,,,
CO 372,001,Friday,"December 6, 2013",12:30 PM,3:00 PM,RCH 110,,,,,,,,,,,
CO 430,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,RCH 206,,,,,,,,,,,
CO 450,001,Saturday,"December 14, 2013",12:30 PM,3:00 PM,PAC 9,,,,,,,,,,,
CO 456,001,Monday,"December 16, 2013",9:00 AM,11:30 AM,RCH 211,,,,,,,,,,,
CO 463,001,Tuesday,"December 10, 2013",12:30 PM,3:00 PM,RCH 205,,,,,,,,,,,
CO 485,001,Thursday,"December 5, 2013",7:30 PM,10:00 PM,RCH 205,,,,,,,,,,,
CO 630,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,RCH 206,,,,,,,,,,,
CO 650,001,Saturday,"December 14, 2013",12:30 PM,3:00 PM,PAC 9,,,,,,,,,,,
CO 663,001,Tuesday,"December 10, 2013",12:30 PM,3:00 PM,RCH 205,,,,,,,,,,,
CO 685,001,Thursday,"December 5, 2013",7:30 PM,10:00 PM,RCH 205,,,,,,,,,,,
COMM 231,001,Friday,"December 20, 2013",12:30 PM,3:00 PM,"DC 1350,1351",,,,,,,,,,,
COMM 421,001,Tuesday,"December 17, 2013",12:30 PM,3:00 PM,PAC 3,,,,,,,,,,,
COMM 431,001,Thursday,"December 19, 2013",4:00 PM,6:30 PM,PAC 4,,,,,,,,,,,
CROAT 101,001,Monday,"December 16, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
CROAT 101,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
CROAT 201,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
CS 100,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
CS 115,001 to 005,Tuesday,"December 17, 2013",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,11,12",,,,,,,,,,,
CS 116,001,Monday,"December 16, 2013",9:00 AM,11:30 AM,"M3 1006,MC 1056",,,,,,,,,,,
CS 135,001 to 007,Friday,"December 13, 2013",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,9,10",,,,,,,,,,,
CS 136,"001,002",Friday,"December 13, 2013",12:30 PM,3:00 PM,M3 1006,,,,,,,,,,,
CS 137,001,Monday,"December 16, 2013",4:00 PM,6:30 PM,M3 1006,,,,,,,,,,,
CS 145,001,Thursday,"December 12, 2013",4:00 PM,6:30 PM,PAC 4,,,,,,,,,,,
CS 200,001,Saturday,"December 7, 2013",12:30 PM,3:00 PM,PAC 9,,,,,,,,,,,
CS 230,001,Monday,"December 9, 2013",7:30 PM,10:00 PM,PAC 8,,,,,,,,,,,
CS 234,001,Monday,"December 16, 2013",7:30 PM,10:00 PM,PAC 8,,,,,,,,,,,
CS 240,"001,002",Monday,"December 9, 2013",12:30 PM,3:00 PM,"PAC 8,9",,,,,,,,,,,
CS 241,001 to 003,Tuesday,"December 10, 2013",4:00 PM,6:30 PM,"DC 1350,1351",,,,,,,,,,,
CS 245,001 to 005,Monday,"December 9, 2013",4:00 PM,6:30 PM,"PAC 7,8,9,10,11,12",,,,,,,,,,,
